STATEID	STATE	NUMREC	TOTBEG	ENNOINC	ENINC	OTHEN	ENUNK	TOTEN	EXCOM	EXINCNEW	EXINCURR	EXTREAT	EXINCOTH	EXINCUNK	EXABSND	EXWRNT	EXTRANS	EXDTH	EXOTHCOM	EXUNSAT	EXOTH	EXUNK	TOTEX	TOTEND	INORCASE	MALE	FEML	GENDUNK	TOTGEND	WHITE	BLACK	HISP	AMINALK	ASIAN	HAWPAC	TWORACE	ADDRACE	UNKRACE	TOTRACE	FELONY	MISD	OTHSROFF	SROFFUNK	TOTSROFF	DMVIOL	SXASLT	OTHVIOL	PROPERTY	DRUG	DUI	TRAF	OTHOFF	OFFUNK	TOTOFF	OUTST	OUTSTNUM	OUTSTIN	ANST	ANSTNUM	REPTPREV	HLDFAC	PAROLE	JAIL	PRISON	CBCF	ICE	DIRECT	SPLIT	SPNDEXC	SPNDIMP	OTHSUP	SUPUNK	TOTSUP	ACTIVE	RESTX	FINONLY	INACTIVE	ABSND	WRNT	OUTJURS	OTHSTAT	STATUNK	TOTSTAT	GPS	GPSNUM	GPSSXNUM	IMPEN	IMPEX	UNKEN	UNKEX	UNKINCASE	UNKGEND	UNKRACE2	UNKSROFF	UNKSROFF2	UNKSUP	UNKSTAT	INDS	CASES	OUTSTINCL	OUTSTEXCL	ESTOTBEG	ESENNOINC	ESENINC	ESOTHEN	ESENUNK	ESTOTEN	ESEXCOM	ESEXINCNEW	ESEXINCURR	ESEXTREAT	ESEXINCOTH	ESEXINCUNK	ESEXABSND	ESEXWRNT	ESEXTRANS	ESEXDTH	ESEXOTHCOM	ESEXUNSAT	ESEXOTH	ESEXUNK	ESTOTEX	ESTOTEND	ESMALE	ESFEML	ESGENDUNK	ESTOTGEND	ESWHITE	ESBLACK	ESHISP	ESAMINALK	ESASIAN	ESHAWPAC	ESTWORACE	ESADDRACE	ESUNKRACE	ESTOTRACE	ESFELONY	ESMISD	ESOTHSROFF	ESSROFFUNK	ESTOTSROFF	ESDMVIOL	ESSXASLT	ESOTHVIOL	ESPROPERTY	ESDRUG	ESDUI	ESTRAF	ESOTHOFF	ESOFFUNK	ESTOTOFF	ESOUTSTNUM	ESANSTNUM	ESPAROLE	ESJAIL	ESPRISON	ESCBCF	ESICE	ESDIRECT	ESSPLIT	ESSPNDEXC	ESSPNDIMP	ESOTHSUP	ESSUPUNK	ESTOTSUP	ESACTIVE	ESRESTX	ESFINONLY	ESINACTIVE	ESABSND	ESWRNT	ESOUTJURS	ESOTHSTAT	ESSTATUNK	ESTOTSTAT	ESGPSNUM	ESGPSSXNUM	SUPVRATE
0	FE	1	18320	8240	0	0	0	8240	5983	0	800	0	0	0	0	0	0	90	1731	118	-9	433	9155	17284	1	10618	6414	252	17284	7655	4498	3117	411	615	59	0	135	794	17284	13443	3778	57	6	17284	0	186	482	7517	3297	0	1347	4442	13	17284	2	-8	-8	2	-8	1	2	-8	-8	-8	-8	-8	17284	0	0	0	0	0	17284	17284	0	0	0	0	0	0	0	0	17284	1	78	0	8200	9200	0	0	0	0	0	0	0	0	0	17284	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	7
1	AL	3	51694	13764	102	0	611	14477	10139	1603	486	0	0	0	0	1	0	322	741	0	2	700	13994	52177	3	42299	9196	682	52177	20115	17353	537	73	56	-9	-9	0	14043	52177	-9	13922	0	38255	52177	690	0	515	1540	980	402	8188	991	38871	52177	1	18	1	1	3172	2	1	271	1760	-9	-9	-9	40768	10793	-9	-9	0	616	52177	33453	-9	575	1760	-9	15635	18	120	616	52177	2	-8	-8	14500	14000	0	0	0	0	0	0	0	0	0	51561	616	18	0	3	1	3	1	1	1	1	3	3	3	1	1	1	2	1	2	2	1	2	1	3	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	3	1	2	1	1	0	0	1382
2	AK	1	6513	412	6530	0	0	6942	1300	1936	2201	-9	-9	-9	630	-9	-9	55	-9	-9	-9	712	6834	6621	1	5228	1391	2	6621	3933	572	232	1471	260	60	0	-9	93	6621	6107	514	0	0	6621	-9	696	1733	1420	1150	1345	-9	-9	277	6621	1	101	1	2	-8	2	2	-8	-8	-8	-8	-8	-9	-9	-9	-9	0	6621	6621	4847	-9	-8	-8	1120	-9	654	0	0	6621	1	-9	-9	6900	6800	0	0	0	0	0	0	0	0	0	6621	0	101	0	1	1	1	1	1	1	1	2	2	0	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1193
4	AZ	1	76005	16134	8002	0	0	24136	16176	-9	4893	-8	0	0	-9	-9	-9	331	-8	1268	100	0	22768	77373	1	61362	16009	2	77373	37013	9044	25589	4215	496	-9	-9	652	364	77373	56923	5267	15132	51	77373	1151	6446	10521	11121	13033	3229	397	3103	28372	77373	1	2568	1	1	1381	1	1	-9	2194	-9	-9	565	0	0	77373	0	0	0	77373	42640	-9	-9	-9	-9	10873	2568	21292	0	77373	1	260	260	24100	22800	0	0	0	0	0	0	0	0	0	77373	0	2568	0	1	1	1	2	2	1	1	0	1	0	2	2	0	0	0	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	2	2	1	2	2	2	1	1	0	0	0	0	1	1	1	2	1	0	0	1447
5	AR	1	29003	10515	154	659	0	11328	4944	449	1802	567	0	0	0	24	6	183	206	1269	0	0	9450	30881	1	21046	9835	0	30881	20526	8841	1174	98	84	35	0	123	0	30881	30140	537	204	0	30881	1324	975	3493	11107	11447	48	0	2116	371	30881	1	1390	1	1	118	1	1	54	1788	184	309	228	29287	677	0	711	206	0	30881	19583	309	0	3139	5110	0	1390	1350	0	30881	1	55	16	11300	9500	0	0	0	0	0	0	0	0	0	30881	0	1390	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1347
6	CA	1	263531	-9	-9	-9	138876	138876	58090	0	0	0	0	0	0	0	0	0	0	53388	24688	0	136166	239735	1	-9	-9	239735	239735	-9	-9	-9	-9	-9	-9	-9	0	239735	239735	190686	49049	0	0	239735	-9	-9	-9	-9	-9	-9	-9	0	239735	239735	2	-8	-8	2	-8	2	2	-8	-8	-8	-8	-8	-9	-9	-9	-9	0	239735	239735	239735	0	0	0	0	0	0	0	0	239735	1	-9	-9	138900	136200	0	0	0	0	0	0	0	0	0	239735	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	791
8	CO	8	78810	42570	461	8215	4255	55501	31550	256	927	0	6589	0	5065	0	4633	394	2565	165	374	1183	53701	80740	3	58033	20852	1855	80740	60851	6660	9024	683	785	20	0	0	2717	80740	20849	57245	1224	1422	80740	1220	51	171	1002	39	2607	529	917	74204	80740	1	2113	3	1	1227	-9	1	-9	-9	-9	2739	-9	5728	195	650	0	299	73868	80740	5582	544	0	713	0	802	2065	0	71034	80740	1	76	-9	56000	54200	0	0	473	0	0	0	0	0	0	71890	8377	2065	48	3	1	1	3	3	3	3	1	2	2	3	2	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	2	2	3	3	3	2	1	2	3	3	3	3	0	0	2	1	0	3	3	3	2	3	3	3	3	1	0	1	0	3	3	2	3	3	0	0	1870
9	CT	1	42064	18092	3391	0	0	21483	15985	-9	-9	-9	-9	-9	371	4564	-9	-9	-9	-9	-9	0	20920	41311	1	32250	9060	1	41311	19132	11253	9698	80	-9	-9	2	401	745	41311	22280	18527	455	49	41311	6498	3090	4384	8759	5134	4487	2531	6428	0	41311	1	1713	1	1	-9	2	1	-9	-9	-9	-8	-9	-9	15611	16670	9030	0	0	41311	31283	-9	-9	-9	-9	8323	1705	0	0	41311	1	588	379	21500	20900	0	0	0	0	0	0	0	0	0	41311	0	1713	0	1	2	2	0	0	2	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	0	2	2	0	0	0	0	0	0	0	2	2	2	0	0	2	2	0	0	0	0	2	2	0	0	2	0	0	1461
10	DE	1	15646	-9	-9	0	12463	12463	7720	337	976	-9	-9	-9	-9	-9	-9	119	0	1634	1928	0	12714	15395	1	11646	3749	0	15395	7919	6507	889	11	35	0	0	0	34	15395	3931	8880	0	2584	15395	121	199	992	1266	531	850	0	11436	0	15395	1	326	1	1	692	2	1	-9	6	-9	-8	-9	5634	9111	-9	650	0	0	15395	10395	-9	1548	-9	3126	-9	326	0	0	15395	1	-9	-9	12500	12700	0	0	0	0	0	0	0	0	0	15395	0	326	0	2	0	0	0	2	2	2	2	2	0	0	0	0	0	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	0	2	2	0	2	0	2	2	2	0	2	0	2	0	2	0	2	2	0	0	2049
11	DC	1	5546	4054	522	0	0	4576	3345	0	0	0	0	725	0	0	8	45	0	94	67	0	4284	5838	1	4664	1174	0	5838	357	4956	414	7	27	1	0	73	3	5838	1924	1213	2361	340	5838	0	133	429	0	765	0	0	4268	243	5838	1	358	2	2	-8	2	1	215	-8	438	-8	7	4292	859	0	78	609	0	5838	3259	92	0	362	24	953	358	789	1	5838	1	289	24	4600	4300	0	0	0	0	0	0	0	0	0	5838	0	0	358	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1034
