STATEID	STATE	NUMREC	TOTBEG	ENNOINC	ENINC	OTHEN	ENUNK	TOTEN	EXCOM	EXINCNEW	EXINCURR	EXTREAT	EXINCOTH	EXINCUNK	EXABSND	EXWRNT	EXTRANS	EXDTH	EXOTHCOM	EXUNSAT	EXOTH	EXUNK	TOTEX	TOTEND	INORCASE	MALE	FEML	GENDUNK	TOTGEND	WHITE	BLACK	HISP	AMINALK	ASIAN	HAWPAC	TWORACE	ADDRACE	UNKRACE	TOTRACE	FELONY	MISD	OTHSROFF	SROFFUNK	TOTSROFF	DMVIOL	SXASLT	OTHVIOL	PROPERTY	DRUG	DUI	TRAF	OTHOFF	OFFUNK	TOTOFF	OUTST	OUTSTNUM	OUTSTIN	ANST	ANSTNUM	REPTPREV	HLDFAC	PAROLE	JAIL	PRISON	CBCF	ICE	DIRECT	SPLIT	SPNDEXC	SPNDIMP	OTHSUP	SUPUNK	TOTSUP	ACTIVE	RESTX	FINONLY	INACTIVE	ABSND	WRNT	OUTJURS	OTHSTAT	STATUNK	TOTSTAT	GPS	GPSNUM	GPSSXNUM	IMPEN	IMPEX	UNKEN	UNKEX	UNKINCASE	UNKGEND	UNKRACE2	UNKSROFF	UNKSROFF2	UNKSUP	UNKSTAT	INDS	CASES	OUTSTINCL	OUTSTEXCL	ESTOTBEG	ESENNOINC	ESENINC	ESOTHEN	ESENUNK	ESTOTEN	ESEXCOM	ESEXINCNEW	ESEXINCURR	ESEXTREAT	ESEXINCOTH	ESEXINCUNK	ESEXABSND	ESEXWRNT	ESEXTRANS	ESEXDTH	ESEXOTHCOM	ESEXUNSAT	ESEXOTH	ESEXUNK	ESTOTEX	ESTOTEND	ESMALE	ESFEML	ESGENDUNK	ESTOTGEND	ESWHITE	ESBLACK	ESHISP	ESAMINALK	ESASIAN	ESHAWPAC	ESTWORACE	ESADDRACE	ESUNKRACE	ESTOTRACE	ESFELONY	ESMISD	ESOTHSROFF	ESSROFFUNK	ESTOTSROFF	ESDMVIOL	ESSXASLT	ESOTHVIOL	ESPROPERTY	ESDRUG	ESDUI	ESTRAF	ESOTHOFF	ESOFFUNK	ESTOTOFF	ESOUTSTNUM	ESANSTNUM	ESPAROLE	ESJAIL	ESPRISON	ESCBCF	ESICE	ESDIRECT	ESSPLIT	ESSPNDEXC	ESSPNDIMP	ESOTHSUP	ESSUPUNK	ESTOTSUP	ESACTIVE	ESRESTX	ESFINONLY	ESINACTIVE	ESABSND	ESWRNT	ESOUTJURS	ESOTHSTAT	ESSTATUNK	ESTOTSTAT	ESGPSNUM	ESGPSSXNUM	SUPVRATE
0	FE	1	22455	10332	0	0	0	10332	6936	97	1062	0	8	0	150	0	6	92	1987	196	9	407	10950	21837	1	13560	7945	332	21837	10227	5317	4242	650	732	130	0	0	539	21837	16447	3159	2195	36	21837	3	233	314	9785	3778	1542	369	5718	95	21837	2	-8	-8	2	-8	2	2	-8	-8	-8	-8	-8	21786	31	0	15	5	0	21837	21837	0	0	0	0	0	0	0	0	21837	1	142	20	10300	11000	0	0	0	0	0	0	0	0	0	21837	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	0	0	9
1	AL	3	60913	3465	0	0	16042	19507	11072	1615	648	0	1	0	2253	5	0	296	5537	0	0	1000	22427	57993	3	42571	9301	6121	57993	21188	19955	494	58	49	-9	-9	-9	16249	57993	-9	1035	5086	51872	57993	406	-9	-9	-9	385	274	2190	1831	52907	57993	1	-9	1	1	-9	2	1	265	1266	-9	240	-9	3197	-9	-9	255	1500	53041	57993	42754	240	2318	0	2253	2135	0	0	8293	57993	1	150	-9	19500	22400	0	0	0	0	0	0	0	0	0	51872	6121	0	0	3	2	2	2	2	2	3	3	3	2	2	2	3	3	3	3	2	2	2	2	2	3	1	1	2	3	1	1	1	1	1	0	0	0	2	2	0	2	2	2	2	2	0	0	0	2	2	2	2	2	2	0	0	1	1	2	2	2	2	0	0	2	2	3	3	3	1	3	2	3	2	2	2	2	2	0	0	1563
2	AK	1	6955	-9	-9	-9	1678	1678	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1460	1460	7173	1	5680	1493	0	7173	4117	681	34	1692	531	28	-9	-9	90	7173	4930	1590	20	633	7173	-9	460	1431	1502	927	-9	275	1945	633	7173	2	-8	-8	2	-8	2	-9	-9	-9	-9	-9	-9	0	0	0	0	0	7173	7173	-9	-9	-9	-9	-9	-9	-9	-9	7173	7173	-9	-9	-9	1700	1500	0	0	0	0	0	0	0	0	0	7173	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	0	0	0	0	0	0	0	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1311
4	AZ	2	75409	16962	9384	100	0	26446	20115	-9	4667	-9	0	0	-9	-9	-9	270	-9	1112	1339	0	27503	72452	3	56979	14373	1100	72452	32955	7401	25607	3813	446	0	477	68	1685	72452	50240	5879	15068	1265	72452	1684	6051	12652	14048	18742	6482	601	4429	7763	72452	1	2349	1	1	1249	1	1	-9	-9	-9	-9	-9	1100	0	71352	0	0	0	72452	37639	-9	-9	5628	8378	-9	2349	17358	1100	72452	1	328	178	26400	27500	0	0	0	0	0	0	0	0	0	71352	1100	2349	0	1	1	1	3	2	1	1	0	1	0	2	2	0	0	0	1	0	1	1	2	2	1	1	1	3	3	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	3	3	3	1	1	3	1	3	1	1	1	0	0	0	0	0	3	2	3	2	2	2	3	1	0	0	1	1	0	1	1	3	2	0	0	1459
5	AR	1	31039	9034	106	0	0	9140	5005	1010	3081	0	1	0	83	121	591	165	0	0	0	0	10057	30122	1	21154	8968	0	30122	18773	9839	1180	90	97	0	0	48	95	30122	30122	0	0	0	30122	1421	745	5716	12085	9566	30	0	559	0	30122	1	1410	2	2	-8	1	2	-8	-8	-8	-8	-8	29067	337	143	575	0	0	30122	19737	0	0	2770	4608	0	1410	1597	0	30122	1	11	1	9100	10100	0	0	0	0	0	0	0	0	0	30122	0	0	1410	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1341
6	CA	1	297917	-9	-9	-9	161335	161335	72354	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	59646	29524	0	161524	297728	1	-9	-9	297728	297728	-9	-9	-9	-9	-9	-9	-9	-9	297728	297728	-9	-9	-9	297728	297728	-9	-9	-9	-9	-9	-9	-9	-9	297728	297728	1	-9	-9	2	-8	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	297728	297728	-9	-9	-9	-9	-9	-9	-9	-9	297728	297728	2	-8	-8	161300	161500	0	0	0	0	0	0	0	0	0	297728	0	0	0	2	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1027
8	CO	8	76164	36242	260	13273	4444	54219	33918	0	1423	-9	5077	-9	4611	44	4009	304	2603	389	843	405	53626	77793	3	55190	20805	1798	77793	58205	6121	9499	731	725	0	0	0	2512	77793	22034	51731	839	3189	77793	1972	62	130	898	113	3420	520	137	70541	77793	1	2099	3	1	1385	-9	1	-9	-9	-9	2957	-9	7552	92	179	0	220	69750	77793	74280	542	0	840	369	870	0	0	892	77793	1	118	112	54600	54000	0	0	0	0	0	0	0	0	0	71099	6694	2053	46	3	3	2	3	3	3	3	2	2	0	1	0	3	3	3	3	3	2	3	3	2	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	2	2	2	2	2	2	2	3	3	3	3	3	0	0	0	1	0	2	2	2	3	3	3	3	3	2	2	2	2	2	2	2	3	3	0	0	1953
9	CT	1	49257	18467	6218	-9	0	24685	25181	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	25181	47736	1	37733	9998	5	47736	22450	12854	10807	89	389	-9	8	-9	1139	47736	27024	20264	431	17	47736	5792	0	5578	10275	7783	3519	4578	10195	16	47736	1	2247	1	1	922	2	-9	-9	-9	-9	-9	-9	12700	14399	20637	0	0	0	47736	37653	0	0	0	2070	8013	0	0	0	47736	1	768	433	24700	25200	0	0	0	0	0	0	0	0	0	47736	0	2247	0	1	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	2	2	2	1	1	1	2	2	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	2	2	2	0	0	0	1700
10	DE	1	16195	-9	-9	-9	12756	12756	6540	-9	-9	14	-9	-9	-9	-9	-9	100	0	5715	941	0	13310	15641	1	11872	3768	1	15641	8484	6429	653	4	38	0	0	0	33	15641	4037	9726	-9	1878	15641	209	318	2252	2514	1242	2294	0	6812	0	15641	1	376	1	1	783	2	1	-9	-9	4	1	-9	7499	7849	-9	293	-9	0	15641	10562	-9	1333	-9	-9	3370	376	-9	0	15641	1	-9	-9	12800	13300	0	0	0	0	0	0	0	0	0	15641	0	376	0	2	0	0	0	2	2	2	0	0	2	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	0	2	0	2	2	2	0	2	0	0	2	2	0	2	2	0	0	2185
11	DC	1	8706	5617	622	0	0	6239	4259	0	0	0	0	1291	0	0	19	36	0	942	120	12	6679	8266	1	6542	1723	1	8266	564	7014	516	6	63	3	0	90	10	8266	2290	2125	3290	561	8266	12	65	506	367	613	167	44	3	6489	8266	1	373	1	2	-8	2	1	491	-8	508	-8	15	5956	1155	0	322	833	0	8266	5161	119	0	279	90	1170	373	1033	41	8266	1	226	32	6200	6700	0	0	0	0	0	0	0	0	0	8266	0	373	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1566
