STATEID	STATE	NUMREC	TOTBEG	ENNOINC	ENINC	OTHEN	ENUNK	TOTEN	EXCOM	EXINCNEW	EXINCURR	EXTREAT	EXINCOTH	EXINCUNK	EXABSND	EXWRNT	EXTRANS	EXDTH	EXOTHCOM	EXUNSAT	EXOTH	EXUNK	TOTEX	TOTEND	INORCASE	MALE	FEMALE	GENDUNK	TOTGEND	WHITE	BLACK	HISP	AMINALK	ASIAN	HAWPAC	TWORACE	ADDRACE	UNKRACE	TOTRACE	FELONY	MISD	OTHSROFF	SROFFUNK	TOTSROFF	DMVIOL	SXASLT	OTHVIOL	PROPERTY	DRUG	DUI	TRAF	OTHOFF	OFFUNK	TOTOFF	OUTST	OUTSTNUM	OUTSTIN	ANOTHST	ANOTHSTNUM	REPTPREV	HLDFAC	PAROLE	JAIL	PRISON	CBCF	ICE	DIRECT	SPLIT	SPNDEXC	SPNDIMP	OTHSUP	SUPUNK	TOTSUP	ACTIVE	RESTX	FINONLY	INACTIVE	ABSND	WRNT	OUTJURS	OTHSTAT	STATUNK	TOTSTAT	GPS	GPSNUM	GPSSXNUM	IMPEN	IMPEX	UNKEN	UNKEX	UNKINCASE	UNKGEND	UNKRACE2	UNKSROFF	UNKSROFF2	UNKSUP	UNKSTAT	INDS	CASES	OUTSTINCL	OUTSTEXCL	ESTOTBEG	ESENNOINC	ESENINC	ESOTHEN	ESENUNK	ESTOTEN	ESEXCOM	ESEXINCNEW	ESEXINCURR	ESEXTREAT	ESEXINCOTH	ESEXINCUNK	ESEXABSND	ESEXWRNT	ESEXTRANS	ESEXDTH	ESEXOTHCOM	ESEXUNSAT	ESEXOTH	ESEXUNK	ESTOTEX	ESTOTEND	ESMALE	ESFEML	ESGENDUNK	ESTOTGEND	ESWHITE	ESBLACK	ESHISP	ESAMINALK	ESASIAN	ESHAWPAC	ESTWORACE	ESADDRACE	ESUNKRACE	ESTOTRACE	ESFELONY	ESMISD	ESOTHSROFF	ESSROFFUNK	ESTOTSROFF	ESDMVIOL	ESSXASLT	ESOTHVIOL	ESPROPERTY	ESDRUG	ESDUI	ESTRAF	ESOTHOFF	ESOFFUNK	ESTOTOFF	ESOUTSTNUM	ESANSTNUM	ESPAROLE	ESJAIL	ESPRISON	ESCBCF	ESICE	ESDIRECT	ESSPLIT	ESSPNDEXC	ESSPNDIMP	ESOTHSUP	ESSUPUNK	ESTOTSUP	ESACTIVE	ESRESTX	ESFINONLY	ESINACTIVE	ESABSND	ESWRNT	ESSOUTJURS	ESOTHSTAT	ESSTATUNK	ESTOTSTAT	ESGPSNUM	ESGPSSXNUM	SUPVRATE
17	IL	1	130910	-9	-9	-9	58600	58600	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	57600	57600	131910	1	-9	-9	131910	131910	-9	-9	-9	-9	-9	-9	-9	-9	131910	131910	-9	-9	-9	131910	131910	-9	-9	-9	-9	-9	-9	-9	-9	131910	131910	1	-9	1	1	-9	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	131910	131910	-9	-9	-9	-9	-9	-9	-7	-9	131910	131910	-9	-9	-9	58600	57600	0	0	0	0	0	0	0	0	0	131910	0	0	0	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1344
18	IN	1	131635	3057	77703	11618	0	92378	65144	8509	10279	-9	-9	-9	6956	-9	-9	-9	-9	-9	4378	0	95266	128747	1	-9	-9	128747	128747	-9	-9	-9	-9	-9	-9	-9	-9	-9	128747	59384	69363	0	0	128747	-9	-9	-9	-9	-9	-9	-9	-9	128747	128747	-9	-9	-9	1	-9	2	2	-8	-8	-8	-8	-8	5621	32171	73036	-8	17919	0	128747	-9	-9	-9	-9	-9	-9	-7	-9	128747	128747	2	-8	-8	92400	95300	0	0	0	0	128747	0	0	0	0	128747	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	2	2	1	2	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	1	1	1	2	2	1	0	0	0	0	0	0	0	2	1	1	0	0	2	2	2	2	2	1	1	1	0	1	2	1	0	0	0	0	0	0	0	2	1	1	0	0	2638
19	IA	1	23163	-9	-9	-9	17461	17461	11426	-9	-9	-9	2909	0	103	-9	20	84	16	26	2341	1320	18245	22379	2	16256	6097	26	22379	17578	3065	1131	228	239	0	0	0	138	22379	8862	13517	0	0	22379	-9	-9	-9	-9	-9	-9	-9	-9	22379	22379	1	748	2	2	-8	1	1	-8	-8	-8	666	-8	-9	-9	-9	-9	-9	22379	22379	22379	-9	-9	-9	-9	-8	-9	-9	0	22379	1	374	276	17500	18200	0	0	0	0	0	0	0	0	0	0	22379	0	748	2	0	0	0	2	2	2	0	0	0	2	2	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0	0	2	0	0	2	0	0	963
20	KS	1	17236	-9	-9	-9	21537	21537	13468	-9	-9	-9	101	-9	-9	-9	-9	-9	2453	3111	2238	0	21371	17402	2	-9	-9	17402	17402	-9	-9	-9	-9	-9	-9	-9	-9	17402	17402	3704	13698	0	0	17402	-9	-9	-9	-9	-9	-9	-9	-9	17402	17402	1	-9	2	1	418	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	17402	17402	17402	0	0	0	0	0	0	0	0	17402	1	-9	-9	21500	21400	0	0	0	0	0	0	0	0	0	0	17402	0	0	2	0	0	0	2	2	2	0	0	0	2	0	0	0	0	0	2	2	2	0	2	2	0	0	2	2	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	812
21	KY	3	54947	11936	276	838	15011	28061	5132	666	3896	-9	-9	0	374	823	80	190	173	80	33	14366	25813	57195	3	39466	17729	0	57195	44895	9495	2559	31	78	0	137	0	0	57195	25688	31507	0	0	57195	441	1104	5007	11126	28225	5484	998	4810	0	57195	1	2302	1	1	2073	1	1	458	187	18	-8	4	49409	7769	17	0	0	0	57195	42353	200	2691	6789	2401	110	2302	349	0	57195	1	355	100	28100	25800	0	0	0	0	0	0	0	0	0	33554	23641	2302	0	3	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1714
22	LA	1	42259	15897	667	486	0	17050	8529	1845	3100	-8	-8	36	-8	-8	-8	211	1228	30	417	0	15396	43913	1	33039	10874	0	43913	20494	22995	245	23	114	39	-8	3	0	43913	42599	1314	-8	0	43913	155	977	2048	13833	20710	2020	243	3187	740	43913	1	1813	1	1	2215	1	1	194	3554	45	86	18	42576	1337	-8	-8	-8	0	43913	38549	451	-8	-8	3100	-8	1813	-8	0	43913	1	30	28	17100	15400	0	0	0	0	0	0	0	0	0	43913	0	1813	0	2	2	2	2	0	2	2	2	2	0	0	2	0	0	0	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	2	2	0	0	2	0	2	0	0	2	0	0	1285
23	ME	1	7316	2342	1004	130	41	3517	2373	-9	-9	-9	1000	-9	-9	-9	-9	-9	-9	-9	-9	182	3555	7278	1	6000	1278	0	7278	6596	268	85	26	7	15	-9	-9	281	7278	5272	2006	0	0	7278	1621	640	441	2193	1347	555	334	-9	147	7278	1	185	1	1	214	1	1	10	91	16	-8	-8	2342	1004	-9	-9	-9	3932	7278	5959	0	0	0	0	914	185	220	0	7278	1	-9	-9	3500	3600	0	0	0	0	0	0	0	0	0	7278	0	185	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	693
24	MD	1	95017	39938	8500	0	0	48438	33608	5282	4886	-9	-9	-9	-9	-9	16	490	1658	9334	-9	0	55274	88181	2	71392	16789	0	88181	42395	43991	-9	112	628	-9	-9	-9	1055	88181	26164	44413	17604	0	88181	-9	-9	13995	16453	20691	17604	3260	16178	0	88181	1	1255	1	1	2859	2	1	-8	-8	9490	-8	-8	-8	9490	63201	15490	0	0	88181	49450	-9	-9	30646	5983	847	1255	-9	0	88181	1	-9	-9	48400	55300	0	0	0	0	0	0	0	0	0	0	88181	1255	0	1	1	1	2	2	1	1	1	1	0	0	2	2	2	1	1	1	1	0	2	1	1	1	1	2	1	1	1	0	1	1	0	0	0	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	2	1	1	1	2	2	1	2	2	0	1	1	1	2	2	1	1	0	0	1	1	1	1	2	2	1	0	0	1999
25	MA	1	76249	-9	-9	-9	81800	81800	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	86000	86000	72049	2	58792	13257	0	72049	-9	-9	-9	-9	-9	-9	-9	-9	72049	72049	-9	-9	-9	72049	72049	-9	-9	-9	-9	-9	-9	-9	-9	72049	72049	1	904	2	2	-8	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	72049	72049	-9	-9	-9	-9	-9	-9	904	-9	71145	72049	1	1161	701	81800	86000	0	0	0	0	0	0	0	0	0	0	72049	0	904	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	2	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	2	2	0	0	1378
26	MI	134	185416	20349	3306	2938	83829	110422	44942	966	3646	159	1	0	484	2045	178	221	1952	2455	647	55028	113944	182333	3	99250	34284	48029	182333	49320	37063	588	660	363	78	34	1682	92545	182333	1562	82685	238	97078	182333	6266	2118	9722	24815	23787	15441	2308	2242	95634	182333	1	1349	1	1	0	1	1	261	255	99	50	5	19002	1776	3120	2025	18	156392	182333	81710	136	309	725	9632	13501	1362	70	74888	182333	1	445	9	124500	128500	0	1220	2070	770	0	770	0	0	0	112216	68047	1349	0	3	3	3	3	3	3	3	3	3	3	2	2	3	3	2	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	2388
