STATEID	STATE	NUMREC	TOTBEG	ENNOINC	ENINC	OTHEN	ENUNK	TOTEN	EXCOM	EXINCNEW	EXINCURR	EXTREAT	EXINCOTH	EXINCUNK	EXABSND	EXWRNT	EXTRANS	EXDTH	EXOTHCOM	EXUNSAT	EXOTH	EXUNK	TOTEX	TOTEND	INORCASE	MALE	FEMALE	GENDUNK	TOTGEND	WHITE	BLACK	HISP	AMINALK	ASIAN	HAWPAC	TWORACE	ADDRACE	UNKRACE	TOTRACE	FELONY	MISD	OTHSROFF	SROFFUNK	TOTSROFF	DMVIOL	SXASLT	OTHVIOL	PROPERTY	DRUG	DUI	TRAF	OTHOFF	OFFUNK	TOTOFF	OUTST	OUTSTNUM	OUTSTIN	ANOTHST	ANOTHSTNUM	REPTPREV	HLDFAC	PAROLE	JAIL	PRISON	CBCF	ICE	DIRECT	SPLIT	SPNDEXC	SPNDIMP	OTHSUP	SUPUNK	TOTSUP	ACTIVE	RESTX	FINONLY	INACTIVE	ABSND	WRNT	OUTJURS	OTHSTAT	STATUNK	TOTSTAT	GPS	GPSNUM	GPSSXNUM	IMPEN	IMPEX	UNKEN	UNKEX	UNKINCASE	UNKGEND	UNKRACE2	UNKSROFF	UNKSROFF2	UNKSUP	UNKSTAT	INDS	CASES	OUTSTINCL	OUTSTEXCL	ESTOTBEG	ESENNOINC	ESENINC	ESOTHEN	ESENUNK	ESTOTEN	ESEXCOM	ESEXINCNEW	ESEXINCURR	ESEXTREAT	ESEXINCOTH	ESEXINCUNK	ESEXABSND	ESEXWRNT	ESEXTRANS	ESEXDTH	ESEXOTHCOM	ESEXUNSAT	ESEXOTH	ESEXUNK	ESTOTEX	ESTOTEND	ESMALE	ESFEML	ESGENDUNK	ESTOTGEND	ESWHITE	ESBLACK	ESHISP	ESAMINALK	ESASIAN	ESHAWPAC	ESTWORACE	ESADDRACE	ESUNKRACE	ESTOTRACE	ESFELONY	ESMISD	ESOTHSROFF	ESSROFFUNK	ESTOTSROFF	ESDMVIOL	ESSXASLT	ESOTHVIOL	ESPROPERTY	ESDRUG	ESDUI	ESTRAF	ESOTHOFF	ESOFFUNK	ESTOTOFF	ESOUTSTNUM	ESANSTNUM	ESPAROLE	ESJAIL	ESPRISON	ESCBCF	ESICE	ESDIRECT	ESSPLIT	ESSPNDEXC	ESSPNDIMP	ESOTHSUP	ESSUPUNK	ESTOTSUP	ESACTIVE	ESRESTX	ESFINONLY	ESINACTIVE	ESABSND	ESWRNT	ESSOUTJURS	ESOTHSTAT	ESSTATUNK	ESTOTSTAT	ESGPSNUM	ESGPSSXNUM	SUPVRATE
27	MN	1	121313	-9	-9	64461	0	64461	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	73888	73888	111886	1	85579	26307	0	111886	77054	17287	-9	4785	2693	-9	10067	0	0	111886	42661	69225	0	0	111886	6091	4217	9377	14992	13388	44420	6925	12476	0	111886	1	2248	1	1	1216	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	111886	111886	-9	-9	-9	-9	-9	-9	2248	-9	109638	111886	1	-9	-9	64500	73900	0	0	0	0	0	0	0	0	0	111886	0	2248	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	2	2	0	0	2760
28	MS	1	24276	2185	7985	0	0	10170	3751	1344	958	0	0	0	376	0	9	34	0	0	1181	0	7653	26793	1	20572	6221	0	26793	11049	15315	160	26	74	0	0	0	169	26793	26793	0	0	0	26793	331	931	2622	11747	10093	1034	35	0	0	26793	1	807	1	2	-8	1	2	-8	-8	-8	-8	-8	22417	-9	-9	4376	0	0	26793	25590	396	-9	-9	-9	-9	807	0	0	26793	2	-8	-8	10200	7700	0	0	0	0	0	0	0	0	0	26793	0	807	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	0	0	2	2	2	2	0	0	1216
29	MO	2	57805	19296	1882	2266	311	23755	9730	350	3707	2126	-9	21	6974	-9	-9	359	564	-9	-9	300	24131	57429	1	43068	14360	1	57429	40742	15493	845	139	167	0	0	0	43	57429	54916	1231	1282	0	57429	4885	1046	1331	17424	20002	4585	1241	6830	85	57429	1	3895	1	2	-8	1	-9	-9	-9	-9	-9	-9	-8	-8	26277	29958	1194	0	57429	52353	-9	0	0	928	253	3895	0	0	57429	1	104	52	23800	24100	0	0	0	0	0	0	0	0	0	57429	0	3895	0	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1246
30	MT	4	10091	1621	1423	-9	977	4021	1786	226	1029	-9	-9	-9	-9	-9	36	66	-9	-9	2	874	4019	10093	3	7849	2244	0	10093	7665	152	279	1174	26	-9	115	45	637	10093	9486	587	20	0	10093	214	655	2340	2687	2062	1180	6	324	625	10093	1	830	1	1	5	-9	1	-9	268	247	32	-9	4937	4549	-9	-9	-9	607	10093	7557	32	0	0	1013	25	830	247	389	10093	1	1	1	4000	4000	0	0	0	0	0	0	0	0	0	9652	441	830	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1316
31	NE	1	17583	8950	3799	0	0	12749	10170	903	780	0	212	63	10	4	60	31	1399	371	9	0	14012	16320	1	11913	4406	1	16320	11750	1795	1959	490	162	0	0	-9	164	16320	4080	12240	0	0	16320	881	277	1012	1224	1175	7638	2905	1208	0	16320	1	261	1	1	424	2	2	-8	-8	-8	-8	-8	9906	6414	0	0	0	0	16320	14281	0	0	0	620	1158	261	0	0	16320	2	-8	-8	12700	14000	0	0	0	0	0	0	0	0	0	16320	0	261	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1194
32	NV	1	12300	-9	-9	-9	6467	6467	4313	-9	-9	-9	-9	-8	217	-9	-9	40	-8	2363	0	0	6933	11834	1	8749	3085	0	11834	-9	-9	-9	-9	-9	-9	-9	-9	11834	11834	8067	3767	0	0	11834	-9	-9	-9	-9	-9	-9	-9	-9	11834	11834	1	965	1	2	-8	2	1	-9	-9	-9	-9	-9	-8	-9	11023	-8	811	0	11834	8691	-9	-9	39	2139	-9	965	0	0	11834	2	-8	-8	6500	6900	0	0	0	0	0	0	0	0	0	11834	0	965	0	2	0	0	0	2	2	1	0	0	0	0	0	1	0	0	2	0	1	2	2	2	2	3	3	0	2	0	0	0	0	0	0	0	0	2	2	1	1	2	2	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	1	0	1	2	2	2	0	0	2	2	0	2	2	2	2	0	0	597
33	NH	1	4600	2519	563	0	0	3082	2733	-9	-9	0	0	579	0	0	0	18	0	0	0	5	3335	4347	1	3329	1017	1	4347	3907	141	130	7	17	1	-9	29	115	4347	-9	-9	-9	4347	4347	-9	-9	-9	-9	-9	-9	-9	-9	4347	4347	1	318	1	1	490	1	2	-8	-8	-8	-8	-8	-9	4347	-9	-9	-9	0	4347	4029	-9	0	0	-9	-9	318	0	0	4347	2	-8	-8	3100	3300	0	0	0	0	0	0	0	0	0	4347	0	318	0	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	0	0	2	2	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	0	2	0	0	0	0	2	2	0	2	2	0	0	2	2	2	2	0	0	416
34	NJ	1	124176	-9	-9	-9	42139	42139	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2936	43224	46160	120155	1	94923	25232	0	120155	43737	46861	14418	0	1442	0	0	-9	13697	120155	57517	46620	16018	0	120155	3206	1521	10694	45539	56713	1782	700	0	0	120155	1	2406	1	2	-8	2	2	-8	-8	-8	-8	-8	-9	-9	-9	-9	-9	120155	120155	66188	-9	32518	-9	19043	-8	2406	-9	0	120155	2	-8	-8	42100	46200	0	0	0	0	0	0	0	0	0	120155	0	2406	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	3	3	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	2	2	2	0	2	0	2	0	2	0	0	2	0	0	1788
35	NM	2	20086	-9	-9	-9	3757	3757	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3741	3741	19839	3	11106	3717	5016	19839	4402	750	7889	1121	40	23	0	0	5614	19839	-9	4984	-9	14855	19839	-9	-9	-9	-9	-9	-9	-9	-9	19839	19839	1	1734	1	1	-9	2	1	1075	-8	-8	-8	-8	-9	-9	-9	-9	-9	19839	19839	9064	-9	-9	2173	1852	-9	1734	-9	5016	19839	-9	-9	-9	6000	6200	0	0	0	0	0	0	0	0	0	14855	4984	1734	0	2	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	3	3	2	1	2	3	3	0	0	0	0	0	0	0	0	3	3	2	2	2	2	2	2	2	0	0	0	0	0	3	3	2	0	0	2	2	0	2	0	3	3	0	0	1301
36	NY	1	121182	31599	2527	0	0	34126	23667	3566	-8	-8	-8	-8	-9	-9	-8	452	1996	8424	172	0	38277	117031	1	92810	23569	652	117031	53179	33407	23086	483	1186	-8	-8	1581	4109	117031	59215	55324	155	2337	117031	-9	4949	19169	30017	20636	24276	2581	12784	2619	117031	1	285	1	2	-8	2	2	-8	-8	-8	-8	-8	100243	12314	-8	4474	0	0	117031	101388	-9	-9	0	-9	15358	285	0	0	117031	1	-9	-9	34100	38300	0	0	0	0	0	0	0	0	0	117031	0	285	0	2	2	2	2	2	2	2	2	0	0	0	0	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	0	2	0	2	2	2	2	2	0	0	769
37	NC	1	106581	63089	24	0	0	63113	18305	4065	12439	-8	0	0	9286	-9	-8	594	14125	5367	0	1285	65466	104228	1	78173	26055	0	104228	48369	46936	5372	2013	340	68	-9	0	1130	104228	36740	67122	0	366	104228	3016	2021	10257	30563	21936	19010	10962	6107	356	104228	1	1079	1	2	-8	2	1	438	-9	-9	-9	-9	-8	-9	100209	4019	0	0	104228	86503	5993	-9	-8	10653	-9	1079	0	0	104228	1	746	118	63100	65500	0	0	0	0	0	0	0	0	0	104228	0	1079	0	1	2	2	2	2	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	2	2	2	2	2	2	2	0	0	2	0	2	2	2	2	0	0	1442
38	ND	1	4206	2756	0	0	0	2756	1449	450	565	-9	-9	-9	115	-9	-9	31	56	-9	-9	6	2672	4290	1	3210	1080	0	4290	3156	220	169	718	27	-9	-9	-9	0	4290	3468	822	0	0	4290	-9	-9	-9	-9	-9	-9	-9	-9	4290	4290	1	575	1	2	-8	2	1	-9	-9	-9	-9	-9	0	0	3623	667	0	0	4290	3715	0	0	0	0	0	575	0	0	4290	1	40	-9	2800	2700	0	0	0	0	0	0	0	0	0	4290	0	575	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	834
39	OH	187	256084	48212	17228	8655	73013	147108	56707	5052	6207	335	1227	96	9136	1687	1600	634	3952	5975	6048	52046	150702	251779	3	110949	42872	97607	251779	69084	36683	2161	48	200	6	228	278	140107	251779	51856	104346	903	74673	251779	7772	1812	4738	15911	11970	9949	7625	10067	181935	251779	1	3418	3	1	195	1	1	167	2507	185	1124	11	43094	9574	8386	2254	2942	185529	251779	82855	1379	985	23753	4005	9683	4217	1884	123018	251779	1	1004	20	155300	160100	0	0	455	351	2984	20001	0	0	0	153229	98095	3410	8	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	0	0	2841
40	OK	3	27067	5504	2030	0	2101	9635	8336	431	590	0	0	0	-9	-9	-9	154	0	192	0	1342	11045	25657	3	15960	4641	5056	25657	12501	4321	1709	1689	84	0	-9	297	5056	25657	-9	5056	-9	20601	25657	387	1450	3138	4846	7780	2647	232	1804	3373	25657	1	1066	1	-9	-9	-9	1	-9	-9	-9	-9	-9	1683	4398	11743	3546	914	3373	25657	1683	-9	-9	-9	-9	-9	1066	-9	22908	25657	1	-9	-9	9600	11000	0	0	0	0	0	0	0	0	0	23974	1683	1066	0	3	3	3	2	2	3	3	3	3	3	3	3	2	2	2	3	2	2	2	2	3	2	3	3	2	2	1	1	1	1	1	1	0	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	2	3	3	3	2	0	0	0	0	0	2	3	3	3	3	3	3	2	2	2	2	2	2	3	2	3	3	0	0	912
41	OR	1	39607	6875	7328	900	0	15103	9282	570	4060	-9	-9	-9	156	-9	30	199	-9	116	-9	451	14864	39846	1	31041	8805	0	39846	31470	2267	4705	606	511	-9	-9	-9	287	39846	26316	11803	-9	1727	39846	1054	2048	6368	7742	10862	3864	-9	7908	0	39846	1	1047	1	2	-8	1	1	-8	77	-8	-9	978	-9	-9	-9	-9	39846	0	39846	24633	-9	-9	51	13333	-9	1047	782	0	39846	2	-8	-8	15100	14900	0	0	0	0	0	0	0	0	0	39846	0	1047	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	0	0	2	0	2	2	2	2	2	2	2	2	2	2	2	0	0	1328
42	PA	2	171329	3036	0	0	88822	91858	57167	8853	2482	0	0	0	1955	17	3417	857	281	420	0	8441	83890	179297	1	134419	44878	0	179297	110861	54054	10970	140	946	27	325	495	1479	179297	54154	114145	10936	62	179297	3249	4145	23347	45131	34500	43466	0	1560	23899	179297	1	1967	1	2	-8	2	1	-9	753	31	1	7	133573	0	0	39674	6050	0	179297	138643	0	0	11729	13223	0	1967	0	13735	179297	1	-9	-9	91900	83900	0	0	0	0	0	0	0	0	0	179297	0	1967	0	2	2	2	2	3	3	3	3	3	2	2	2	3	2	3	3	2	2	2	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	1	3	3	3	3	3	2	2	3	3	3	2	2	2	2	2	2	3	2	2	3	3	2	3	3	2	2	3	3	2	3	2	3	3	0	0	1808
44	RI	1	25924	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	25164	1	21044	4025	95	25164	13918	4982	4907	136	264	-9	-9	153	804	25164	18274	5934	956	0	25164	2548	1130	3405	2846	7107	390	588	7150	0	25164	1	923	1	2	-8	2	1	-8	-8	2104	-8	-8	-9	-9	-9	-9	-9	-9	25164	10075	-9	-9	8270	-9	5432	923	464	0	25164	1	4	2	5100	5800	-9	-9	0	0	0	0	0	25164	0	25164	0	923	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	0	2	2	2	2	2	0	0	3010
45	SC	1	33876	11252	2179	0	0	13431	8965	489	4397	0	0	0	0	0	0	168	0	0	103	0	14122	33185	1	26189	6995	1	33185	15118	17339	567	30	43	87	0	0	1	33185	21144	11952	84	5	33185	758	606	873	16979	2236	0	0	11733	0	33185	1	1087	1	2	-8	2	1	425	-8	-8	-8	-8	0	6043	27142	0	0	0	33185	24565	0	0	2646	4835	52	1087	0	0	33185	1	146	135	13400	14100	0	0	0	0	0	0	0	0	0	33185	0	1087	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	939
46	SD	1	6602	-9	-9	-9	3202	3202	2943	-9	-9	-9	-9	321	-9	-9	-9	-9	-9	-9	-9	0	3264	6540	1	-9	-9	6540	6540	-9	-9	-9	-9	-9	-9	-9	-9	6540	6540	4130	2410	-8	0	6540	-9	-9	-9	-9	-9	-9	-9	-9	6540	6540	1	385	2	2	-8	2	2	-8	-8	-8	-8	-8	-9	-9	-9	-9	-9	6540	6540	6155	-9	-9	-9	-9	-9	385	-9	0	6540	2	-8	-8	3200	3300	0	0	0	0	0	0	0	0	0	6540	0	0	385	2	0	0	0	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	0	0	0	0	0	2	2	2	0	0	0	0	0	2	0	0	2	0	0	1046
47	TN	3	58493	17300	7011	0	0	24311	16084	2876	4533	-9	-9	0	-9	-9	0	308	0	0	0	0	23801	59946	1	44705	15241	0	59946	35561	21541	2272	57	464	0	50	0	1	59946	52178	7768	0	0	59946	1647	1372	4587	10047	12288	3438	786	25781	0	59946	1	1803	1	1	3222	1	1	1	2002	243	-9	16	35734	3622	3879	8455	8256	0	59946	50098	693	-9	-9	2105	3828	3222	0	0	59946	1	139	131	24300	23800	0	0	0	0	0	0	0	0	0	59946	0	1803	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1232
48	TX	1	426208	-9	-9	-9	165551	165551	111799	-9	-9	-9	-9	49518	-9	-9	-9	1708	-9	-9	10056	0	173081	418678	1	309027	109639	12	418678	173473	82450	157893	757	-9	-9	-9	4093	12	418678	247136	171542	0	0	418678	14844	11843	46336	104136	106508	94535	-9	40255	221	418678	1	7900	1	1	4328	2	1	-9	3236	5622	3456	-9	-9	-9	-9	-9	-9	418678	418678	287808	-9	-9	4210	59102	-9	7900	59658	0	418678	1	-9	-9	165600	173100	0	0	0	0	0	0	0	0	0	418678	0	7900	0	2	0	0	0	2	2	2	0	0	0	0	2	0	0	0	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	0	0	0	0	0	0	2	2	2	0	0	2	2	0	2	2	2	2	0	0	2280
49	UT	1	11481	2507	3130	0	0	5637	2165	489	419	0	0	0	79	2	620	68	0	1611	58	0	5511	11607	1	8717	2890	0	11607	8693	515	1186	352	95	193	0	0	573	11607	9118	2479	0	10	11607	171	879	1637	3428	3521	977	297	682	15	11607	1	263	1	2	-8	1	1	-8	1780	44	65	-8	2559	0	9048	0	0	0	11607	10270	0	0	0	961	64	310	0	2	11607	1	-9	-9	5600	5500	0	0	0	0	0	0	0	0	0	11607	0	263	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	590
50	VT	1	6833	3172	430	289	0	3891	3163	94	387	-8	-8	-8	-9	-8	-8	28	-9	278	470	0	4420	6304	1	4812	1492	0	6304	5633	221	-7	37	39	-7	-7	-8	374	6304	2198	4041	-8	65	6304	605	427	922	1542	552	1234	405	552	65	6304	1	264	1	1	213	2	1	-9	-9	369	-9	-9	2675	1046	1240	1289	-8	54	6304	5276	-8	23	2	5	734	264	-8	0	6304	1	16	5	3900	4400	0	0	0	0	0	0	0	0	0	6304	0	264	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1257
51	VA	1	57876	15663	9893	0	70	25626	7686	-9	-9	-9	14	6803	7	642	2034	444	7532	886	0	800	26848	56654	1	43581	12949	124	56654	28330	26159	1134	29	394	0	0	0	608	56654	56654	0	0	0	56654	513	2218	9426	18532	9655	2023	1327	4455	8505	56654	1	17	1	1	1585	2	1	-9	5	-9	555	2	-9	-9	-9	-9	-9	56654	56654	52878	0	0	0	3204	0	17	555	0	56654	1	46	19	25600	26800	0	0	0	0	0	0	0	0	0	56654	0	17	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	923
53	WA	31	98053	1302	567	17089	28722	47680	17862	0	578	12	233	0	179	880	105	42	190	4261	306	23223	47871	97864	3	40391	11263	46210	97864	26653	4853	2100	857	932	6	175	81	62207	97864	15452	41004	0	41408	97864	5998	1917	2414	3604	6393	7932	2606	3937	63063	97864	1	355	3	1	-9	1	1	107	1307	2	154	63	6237	620	3075	1466	696	85770	97864	28230	8904	0	6899	3682	3502	329	1149	45169	97864	1	-9	-9	73900	74900	0	0	0	0	0	0	0	0	0	56376	41488	329	26	3	3	3	2	3	3	3	2	3	2	2	2	2	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	3	3	3	3	2	3	3	3	3	2	2	2	2	3	3	3	3	0	0	1882
54	WV	2	8409	-9	-9	-9	1662	1662	-9	-9	801	-9	-9	-9	-9	-9	-9	-9	-9	-9	659	0	1460	8623	1	5806	2513	304	8623	7498	731	42	3	5	5	24	3	312	8623	6650	1630	60	283	8623	-9	428	-9	-9	-9	-9	-9	-9	8195	8623	1	491	1	2	-8	2	1	-9	984	-9	-9	-9	6054	984	-9	-9	1324	261	8623	8132	0	0	0	0	0	491	0	0	8623	1	27	27	1800	1600	0	0	0	0	0	0	0	0	0	8623	0	491	0	2	0	0	0	1	1	0	0	2	0	0	0	2	0	0	0	0	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	597
55	WI	1	46950	-9	-9	-9	22275	22275	14859	734	6057	-8	0	0	3	0	0	173	577	676	0	0	23079	46163	1	36157	10006	0	46163	31967	9302	2438	1635	551	-7	-9	222	48	46163	22602	23295	266	0	46163	-9	-9	-9	-9	-9	-9	-9	-9	46163	46163	1	1849	1	2	-8	1	1	245	-9	953	-9	-9	0	0	14339	31764	60	0	46163	37974	107	0	0	5360	873	1849	0	0	46163	1	38	37	22300	23100	0	0	0	0	0	0	0	0	0	46163	0	1849	0	2	0	0	0	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	2	2	2	2	0	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1052
56	WY	1	5352	-9	-9	-9	3146	3146	1328	205	410	0	0	0	163	0	45	0	0	0	0	1028	3179	5319	1	3883	1409	27	5319	4358	140	472	227	4	21	26	12	59	5319	3231	2079	0	9	5319	249	273	329	565	1402	1111	32	509	849	5319	1	505	1	1	241	1	1	-9	-9	-9	90	-9	-9	-9	-9	-9	-9	5319	5319	4747	67	0	0	-9	-9	505	0	0	5319	1	1	1	3100	3200	0	0	0	0	0	0	0	0	0	5319	0	505	0	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	2	2	2	2	2	2	0	0	2	2	2	2	0	0	1270
