STATEID	STATE	NUMREC	TOTBEG	ENNOINC	ENINC	OTHEN	ENUNK	TOTEN	EXCOM	EXINCNEW	EXINCURR	EXTREAT	EXINCOTH	EXINCUNK	EXABSND	EXWRNT	EXTRANS	EXDTH	EXOTHCOM	EXUNSAT	EXOTH	EXUNK	TOTEX	TOTEND	INORCASE	MALE	FEML	GENDUNK	TOTGEND	WHITE	BLACK	HISP	AMINALK	ASIAN	HAWPAC	TWORACE	ADDRACE	UNKRACE	TOTRACE	FELONY	MISD	OTHSROFF	SROFFUNK	TOTSROFF	DMVIOL	SXASLT	OTHVIOL	PROPERTY	DRUG	DUI	TRAF	OTHOFF	OFFUNK	TOTOFF	OUTST	OUTSTNUM	OUTSTIN	ANST	ANSTNUM	REPTPREV	HLDFAC	PAROLE	JAIL	PRISON	CBCF	ICE	DIRECT	SPLIT	SPNDEXC	SPNDIMP	OTHSUP	SUPUNK	TOTSUP	ACTIVE	RESTX	FINONLY	INACTIVE	ABSND	WRNT	OUTJURS	OTHSTAT	STATUNK	TOTSTAT	GPS	GPSNUM	GPSSXNUM	IMPEN	IMPEX	UNKEN	UNKEX	UNKINCASE	UNKGEND	UNKRACE2	UNKSROFF	UNKSROFF2	UNKSUP	UNKSTAT	INDS	CASES	OUTSTINCL	OUTSTEXCL	ESTOTBEG	ESENNOINC	ESENINC	ESOTHEN	ESENUNK	ESTOTEN	ESEXCOM	ESEXINCNEW	ESEXINCURR	ESEXTREAT	ESEXINCOTH	ESEXINCUNK	ESEXABSND	ESEXWRNT	ESEXTRANS	ESEXDTH	ESEXOTHCOM	ESEXUNSAT	ESEXOTH	ESEXUNK	ESTOTEX	ESTOTEND	ESMALE	ESFEML	ESGENDUNK	ESTOTGEND	ESWHITE	ESBLACK	ESHISP	ESAMINALK	ESASIAN	ESHAWPAC	ESTWORACE	ESADDRACE	ESUNKRACE	ESTOTRACE	ESFELONY	ESMISD	ESOTHSROFF	ESSROFFUNK	ESTOTSROFF	ESDMVIOL	ESSXASLT	ESOTHVIOL	ESPROPERTY	ESDRUG	ESDUI	ESTRAF	ESOTHOFF	ESOFFUNK	ESTOTOFF	ESOUTSTNUM	ESANSTNUM	ESPAROLE	ESJAIL	ESPRISON	ESCBCF	ESICE	ESDIRECT	ESSPLIT	ESSPNDEXC	ESSPNDIMP	ESOTHSUP	ESSUPUNK	ESTOTSUP	ESACTIVE	ESRESTX	ESFINONLY	ESINACTIVE	ESABSND	ESWRNT	ESOUTJURS	ESOTHSTAT	ESSTATUNK	ESTOTSTAT	ESGPSNUM	ESGPSSXNUM	SUPVRATE
0	FE	1	19062	8646	0	0	0	8646	6074	0	720	0	0	0	126	0	0	117	1742	96	-9	378	9253	18368	1	11314	6777	277	18368	8350	4705	3224	434	654	51	0	152	798	18368	14279	4032	56	1	18368	0	209	489	8124	3427	0	1417	4691	11	18368	2	-8	-8	2	-8	1	2	-8	-8	-8	-8	-8	18368	0	0	0	0	0	18368	18368	0	0	0	0	0	0	0	0	18368	1	157	1	8600	9300	0	0	0	0	0	0	0	0	0	18368	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	7
1	AL	3	53132	14781	2562	0	812	18155	7311	1407	543	0	0	0	0	0	836	274	3520	0	5	691	14587	56700	3	42635	12984	1081	56700	22585	20095	548	77	57	-9	-9	0	13338	56700	0	13157	0	43543	56700	770	0	506	1528	949	365	7097	968	44517	56700	1	-9	-9	1	-9	-9	1	284	-9	-9	-9	-9	12183	-9	-9	-9	0	44517	56700	35024	-9	-9	-9	-9	14040	-9	0	7636	56700	1	-9	-9	18200	14600	0	0	0	0	0	0	0	0	0	55726	974	0	0	3	3	3	3	3	3	2	2	2	3	3	3	3	3	2	2	2	3	2	3	3	3	1	1	3	3	1	1	1	1	1	0	0	0	3	3	2	3	2	2	3	1	2	1	1	1	1	1	1	3	3	0	0	2	2	2	2	2	2	0	0	0	0	3	3	3	0	0	0	0	3	0	0	1	3	0	0	1505
2	AK	1	7077	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	6513	1	-9	-9	6513	6513	3615	536	190	1779	263	45	-9	0	85	6513	-9	-9	0	6513	6513	-9	-9	-9	-9	-9	-9	-9	0	6513	6513	1	-9	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	6513	6513	-9	-9	-9	-9	-9	-9	-9	0	6513	6513	1	-9	-9	5300	5800	0	0	0	0	0	0	0	0	0	6513	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	4	4	4	4	4	4	4	0	0	4	4	0	0	0	4	4	0	0	0	0	0	0	0	0	4	4	2	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	4	4	0	0	1179
4	AZ	1	73232	17350	8813	0	0	26163	16226	-9	5406	-8	0	0	-9	-9	-9	300	-8	1247	211	0	23390	76005	1	60344	15661	0	76005	36159	8753	25385	4181	517	-9	-9	629	381	76005	55375	5486	15055	89	76005	1420	6750	13173	13120	16334	4403	509	4186	16110	76005	1	2426	1	1	1442	1	1	-9	1917	-9	-9	553	0	0	76005	0	0	0	76005	47371	0	0	0	0	10270	2426	15938	0	76005	1	258	258	26200	23400	0	0	0	0	0	0	0	0	0	76005	0	2426	0	1	1	1	2	2	1	1	0	1	0	2	2	0	0	0	1	0	1	1	2	2	1	1	1	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	2	2	1	2	2	2	1	1	2	2	2	2	1	1	1	2	1	0	0	1449
5	AR	1	28157	10196	62	0	0	10258	5414	703	3117	0	0	0	0	28	0	184	0	0	157	0	9603	28900	1	19840	9060	0	28900	18992	8509	1017	103	82	18	-9	0	179	28900	27453	1291	152	4	28900	1139	691	6590	7665	10157	43	7	2604	4	28900	1	1291	1	1	121	1	1	62	1343	19	74	-9	28016	626	24	234	0	0	28900	19277	74	0	3522	4736	0	1291	0	0	28900	1	52	16	10300	9600	0	0	0	0	0	0	0	0	0	28900	0	1291	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	0	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	0	0	1267
6	CA	1	285681	-9	-9	-9	152909	152909	75165	0	0	0	0	0	0	0	0	0	0	60351	25650	0	161166	263531	1	-9	-9	263531	263531	-9	-9	-9	-9	-9	-9	-9	-9	263531	263531	221243	42288	0	0	263531	-9	-9	-9	-9	-9	-9	-9	-9	263531	263531	2	-8	-8	2	-8	2	2	-8	-8	-8	-8	-8	-9	-9	-9	-9	-9	263531	263531	263531	0	0	0	0	0	0	0	0	263531	1	-9	-9	152900	161200	0	0	0	0	0	0	0	0	0	263531	0	0	0	2	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	0	0	2	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	2	2	2	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	2	0	0	873
8	CO	8	78988	39088	611	9682	4290	53671	32089	240	1030	0	6613	0	5288	0	4314	388	2716	459	396	1174	54707	78883	3	56994	20747	1142	78883	59394	6522	8754	806	807	4	0	0	2596	78883	19583	55915	1562	1823	78883	1127	48	181	1140	86	2733	718	1107	71743	78883	1	2063	3	1	1200	-9	1	-9	-9	-9	2562	-9	6440	204	696	0	316	71227	78883	4911	558	0	1286	16	881	2016	0	69215	78883	1	82	-9	54500	54800	0	0	316	0	0	0	0	0	0	69941	8626	2016	47	3	1	1	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	1	0	3	3	3	3	3	3	3	3	1	1	3	1	3	1	3	3	3	0	0	1860
9	CT	1	43084	19171	3318	0	0	22489	16542	0	0	0	0	0	346	4743	0	0	0	0	0	0	21631	42346	1	32957	9388	1	42346	19893	11388	9766	82	0	-9	3	384	830	42346	23090	18769	453	34	42346	6184	3173	4563	9155	5437	4438	2860	6536	0	42346	1	1731	1	2	-8	2	1	-9	-9	-9	-9	-9	-9	15851	16783	9537	0	175	42346	32482	-9	-9	-9	-9	8141	1723	0	0	42346	1	1186	714	22500	21600	0	0	0	0	0	0	0	0	0	42346	0	1731	0	2	1	1	2	2	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1494
10	DE	1	15665	-9	-9	0	12761	12761	7861	273	1047	-9	-9	-9	-9	-9	-9	103	0	1789	1707	0	12780	15646	1	11967	3679	0	15646	8170	6477	907	10	45	0	0	0	37	15646	3928	9416	0	2302	15646	121	222	956	1210	489	1065	0	11583	0	15646	1	372	1	1	670	2	1	-9	4	-9	2	-9	5847	9229	-9	570	0	0	15646	10517	-9	1392	-9	3365	-9	372	0	0	15646	1	-9	-9	12800	12800	0	0	0	0	0	0	0	0	0	15646	0	372	0	2	0	0	0	0	2	2	2	2	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	0	2	0	2	2	0	2	0	2	2	2	0	2	0	2	0	2	0	2	2	0	0	2098
11	DC	1	6356	3868	414	0	0	4282	4122	0	0	0	0	681	0	0	8	28	0	125	138	0	5102	5536	1	4409	1127	0	5536	345	4714	374	6	31	2	0	61	3	5536	1792	1063	2344	337	5536	0	105	418	0	725	0	0	4056	232	5536	1	362	1	2	-8	2	1	201	-8	385	-8	9	4086	830	0	82	538	0	5536	3036	78	0	369	15	912	362	747	17	5536	1	169	9	4300	5100	0	0	0	0	0	0	0	0	0	5536	0	362	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	990
