STATEID	STATE	NUMREC	TOTBEG	ENNOINC	ENINC	OTHEN	ENUNK	TOTEN	EXCOM	EXINCNEW	EXINCURR	EXTREAT	EXINCOTH	EXINCUNK	EXABSND	EXWRNT	EXTRANS	EXDTH	EXOTHCOM	EXUNSAT	EXOTH	EXUNK	TOTEX	TOTEND	INORCASE	MALE	FEML	GENDUNK	TOTGEND	WHITE	BLACK	HISP	AMINALK	ASIAN	HAWPAC	TWORACE	ADDRACE	UNKRACE	TOTRACE	FELONY	MISD	OTHSROFF	SROFFUNK	TOTSROFF	DMVIOL	SXASLT	OTHVIOL	PROPERTY	DRUG	DUI	TRAF	OTHOFF	OFFUNK	TOTOFF	OUTST	OUTSTNUM	OUTSTIN	ANST	ANSTNUM	REPTPREV	HLDFAC	PAROLE	JAIL	PRISON	CBCF	ICE	DIRECT	SPLIT	SPNDEXC	SPNDIMP	OTHSUP	SUPUNK	TOTSUP	ACTIVE	RESTX	FINONLY	INACTIVE	ABSND	WRNT	OUTJURS	OTHSTAT	STATUNK	TOTSTAT	GPS	GPSNUM	GPSSXNUM	IMPEN	IMPEX	UNKEN	UNKEX	UNKINCASE	UNKGEND	UNKRACE2	UNKSROFF	UNKSROFF2	UNKSUP	UNKSTAT	INDS	CASES	OUTSTINCL	OUTSTEXCL	ESTOTBEG	ESENNOINC	ESENINC	ESOTHEN	ESENUNK	ESTOTEN	ESEXCOM	ESEXINCNEW	ESEXINCURR	ESEXTREAT	ESEXINCOTH	ESEXINCUNK	ESEXABSND	ESEXWRNT	ESEXTRANS	ESEXDTH	ESEXOTHCOM	ESEXUNSAT	ESEXOTH	ESEXUNK	ESTOTEX	ESTOTEND	ESMALE	ESFEML	ESGENDUNK	ESTOTGEND	ESWHITE	ESBLACK	ESHISP	ESAMINALK	ESASIAN	ESHAWPAC	ESTWORACE	ESADDRACE	ESUNKRACE	ESTOTRACE	ESFELONY	ESMISD	ESOTHSROFF	ESSROFFUNK	ESTOTSROFF	ESDMVIOL	ESSXASLT	ESOTHVIOL	ESPROPERTY	ESDRUG	ESDUI	ESTRAF	ESOTHOFF	ESOFFUNK	ESTOTOFF	ESOUTSTNUM	ESANSTNUM	ESPAROLE	ESJAIL	ESPRISON	ESCBCF	ESICE	ESDIRECT	ESSPLIT	ESSPNDEXC	ESSPNDIMP	ESOTHSUP	ESSUPUNK	ESTOTSUP	ESACTIVE	ESRESTX	ESFINONLY	ESINACTIVE	ESABSND	ESWRNT	ESOUTJURS	ESOTHSTAT	ESSTATUNK	ESTOTSTAT	ESGPSNUM	ESGPSSXNUM	SUPVRATE
0	FE	1	19118	9197	0	0	0	9197	6679	65	683	0	0	0	78	0	0	122	1897	104	-9	462	10090	19121	1	11782	7037	302	19121	8711	4798	3445	448	692	49	0	154	824	19121	14883	2658	1579	1	19121	0	218	545	9480	3511	0	1485	3870	12	19121	2	-8	-8	2	-8	1	2	-8	-8	-8	-8	-8	19121	0	0	0	0	0	19121	19121	0	0	0	0	0	0	0	0	19121	1	171	13	9200	10100	0	0	0	0	0	0	0	0	0	19121	0	0	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	8
1	AL	3	50698	20229	769	0	0	20998	9606	1715	612	0	0	0	0	0	1135	303	4775	0	1	0	18147	53640	1	40412	11930	1298	53640	21433	19302	509	65	56	-9	-9	-9	12275	53640	0	10913	0	42727	53640	540	0	444	1165	608	250	6554	1352	42727	53640	1	-9	-9	1	-9	-9	1	301	2204	-9	-9	-9	10913	-9	-9	-9	-9	42727	53640	37335	0	2500	0	0	11008	0	0	2797	53640	-9	-9	-9	22100	19200	0	0	1210	0	0	0	0	0	0	52430	0	0	0	3	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	3	3	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	0	0	2	0	0	0	0	2	2	3	2	1	2	2	3	1	2	2	2	0	0	1429
2	AK	1	7167	-9	-9	-9	5342	5342	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	5432	5432	7077	-9	-9	-9	7077	7077	-9	-9	-9	-9	-9	-9	-9	-9	7077	7077	-9	-9	-9	7077	7077	-9	-9	-9	-9	-9	-9	-9	-9	7077	7077	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	7077	7077	-9	-9	-9	-9	-9	-9	-9	-9	7077	7077	-9	-9	-9	5300	5400	0	0	7077	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1287
4	AZ	1	70827	17187	9306	0	0	26493	16834	-9	5476	-8	0	0	-9	-9	-9	266	-8	1324	188	0	24088	73232	1	58149	15083	0	73232	34682	8191	24974	3975	484	-9	-9	583	343	73232	53278	4951	14844	159	73232	1150	6061	11091	11600	13251	3961	437	3265	22416	73232	1	2440	1	1	1396	1	1	-9	1862	-9	-9	635	0	0	73232	0	0	0	73232	45554	-9	-9	-9	-9	9877	2400	15401	0	73232	1	225	225	26500	24100	0	0	0	0	0	0	0	0	0	73232	0	2440	0	1	1	1	2	0	2	1	0	1	0	2	2	0	0	0	1	0	1	1	0	1	1	1	1	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	0	1	0	0	1	2	2	1	2	2	2	1	1	0	0	0	0	1	1	1	2	1	0	0	1422
5	AR	1	29107	9480	143	0	0	9623	6758	818	2915	0	0	0	0	27	0	208	0	0	0	0	10726	28192	1	19608	8582	2	28192	18136	8736	992	89	81	0	0	158	0	28192	26468	1532	192	0	28192	1021	688	3913	11075	9147	36	0	2189	123	28192	1	1340	1	1	140	1	1	71	1558	192	208	49	27326	563	136	167	0	0	28192	19608	203	0	2351	4690	0	1340	0	0	28192	1	52	11	9600	10700	0	0	0	0	0	0	0	0	0	28192	0	1340	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1244
6	CA	1	294057	-9	-9	-9	169167	169167	71597	0	0	0	0	0	0	0	0	0	0	67457	29256	0	168310	295475	1	-9	-9	295475	295475	-9	-9	-9	-9	-9	-9	-9	-9	295475	295475	254173	41302	0	0	295475	-9	-9	-9	-9	-9	-9	-9	-9	295475	295475	2	-8	-8	2	-8	2	2	-8	-8	-8	-8	-8	-9	-9	-9	-9	-9	295475	295475	295475	0	0	0	0	0	0	0	0	295475	-9	-9	-9	169200	168300	0	0	0	0	0	0	0	0	0	295475	0	0	0	2	0	0	0	2	2	2	0	2	0	0	0	0	0	0	0	0	2	2	0	2	1	0	0	2	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	2	0	0	991
8	CO	8	78843	37862	487	10651	4393	53393	32014	0	1224	0	5784	0	5112	90	4213	326	2891	435	490	447	53026	78988	3	57208	20755	1025	78988	59803	6522	8886	677	787	-9	-9	0	2313	78988	21849	54558	858	1723	78988	1027	51	154	904	32	2618	642	184	73376	78988	1	2115	3	1	1301	-9	1	-9	-9	-9	2844	-9	6177	150	654	2	354	71651	78988	4589	594	-9	1328	26	796	2067	0	69588	78988	1	82	-9	53900	53800	0	0	361	0	0	0	0	0	0	71018	7609	2067	48	3	3	1	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	2	2	2	2	2	2	0	0	1	2	2	3	2	3	3	2	3	3	2	2	2	3	2	3	3	2	2	2	0	0	0	2	0	2	2	2	2	3	3	3	2	0	0	2	0	2	3	3	3	3	0	0	1907
9	CT	1	45039	19004	3564	0	0	22568	17114	-9	-9	-9	-9	-9	369	4893	-9	-9	-9	-9	0	0	22376	43070	1	33631	9438	1	43070	20399	11524	9756	92	0	-9	2	379	918	43070	24171	18455	391	53	43070	6222	3227	4778	9627	5786	4501	2548	6381	0	43070	1	1757	1	2	-8	2	2	-8	-8	-8	-8	-8	0	8510	22565	11995	0	0	43070	33105	-9	-9	-9	-9	8217	1748	-9	0	43070	1	502	502	22600	22400	0	0	0	0	0	0	0	0	0	43070	0	1757	0	2	2	2	0	0	2	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	1	3	1	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1522
10	DE	1	16039	-9	-9	-9	12227	12227	6767	300	1089	7	-9	-9	-9	-9	-9	87	0	3075	1276	0	12601	15665	1	11856	3809	0	15665	8336	6449	796	6	43	0	0	0	35	15665	3932	9796	-8	1937	15665	138	222	1183	1532	658	1301	0	10631	0	15665	1	364	1	1	732	2	1	-9	-9	7	4	-9	6368	8952	-9	345	-9	0	15665	10585	-9	1360	-9	3356	-9	364	-9	0	15665	1	-9	-9	12200	12600	0	0	0	0	0	0	0	0	0	15665	0	364	0	2	0	0	0	2	2	2	2	2	2	0	0	0	0	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	0	2	0	2	2	2	0	2	0	2	0	2	0	2	2	0	0	2131
11	DC	1	7042	4171	495	0	0	4666	4170	0	0	0	0	760	0	0	33	32	0	140	78	11	5224	6484	1	5132	1352	0	6484	458	5471	429	9	39	0	0	75	3	6484	1995	1299	2795	395	6484	0	19	138	113	144	73	20	0	5977	6484	1	387	1	2	-8	2	1	408	-8	426	-8	9	4476	951	0	122	935	0	6484	3777	83	0	363	36	919	387	873	46	6484	1	110	14	4700	5200	0	0	0	0	0	0	0	0	0	6484	0	387	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1185
