STATEID	STATE	NUMREC	TOTBEG	ENNOINC	ENINC	OTHEN	ENUNK	TOTEN	EXCOM	EXINCNEW	EXINCURR	EXTREAT	EXINCOTH	EXINCUNK	EXABSND	EXWRNT	EXTRANS	EXDTH	EXOTHCOM	EXUNSAT	EXOTH	EXUNK	TOTEX	TOTEND	INORCASE	MALE	FEML	GENDUNK	TOTGEND	WHITE	BLACK	HISP	AMINALK	ASIAN	HAWPAC	TWORACE	ADDRACE	UNKRACE	TOTRACE	FELONY	MISD	OTHSROFF	SROFFUNK	TOTSROFF	DMVIOL	SXASLT	OTHVIOL	PROPERTY	DRUG	DUI	TRAF	OTHOFF	OFFUNK	TOTOFF	OUTST	OUTSTNUM	OUTSTIN	ANST	ANSTNUM	REPTPREV	HLDFAC	PAROLE	JAIL	PRISON	CBCF	ICE	DIRECT	SPLIT	SPNDEXC	SPNDIMP	OTHSUP	SUPUNK	TOTSUP	ACTIVE	RESTX	FINONLY	INACTIVE	ABSND	WRNT	OUTJURS	OTHSTAT	STATUNK	TOTSTAT	GPS	GPSNUM	GPSSXNUM	IMPEN	IMPEX	UNKEN	UNKEX	UNKINCASE	UNKGEND	UNKRACE2	UNKSROFF	UNKSROFF2	UNKSUP	UNKSTAT	INDS	CASES	OUTSTINCL	OUTSTEXCL	ESTOTBEG	ESENNOINC	ESENINC	ESOTHEN	ESENUNK	ESTOTEN	ESEXCOM	ESEXINCNEW	ESEXINCURR	ESEXTREAT	ESEXINCOTH	ESEXINCUNK	ESEXABSND	ESEXWRNT	ESEXTRANS	ESEXDTH	ESEXOTHCOM	ESEXUNSAT	ESEXOTH	ESEXUNK	ESTOTEX	ESTOTEND	ESMALE	ESFEML	ESGENDUNK	ESTOTGEND	ESWHITE	ESBLACK	ESHISP	ESAMINALK	ESASIAN	ESHAWPAC	ESTWORACE	ESADDRACE	ESUNKRACE	ESTOTRACE	ESFELONY	ESMISD	ESOTHSROFF	ESSROFFUNK	ESTOTSROFF	ESDMVIOL	ESSXASLT	ESOTHVIOL	ESPROPERTY	ESDRUG	ESDUI	ESTRAF	ESOTHOFF	ESOFFUNK	ESTOTOFF	ESOUTSTNUM	ESANSTNUM	ESPAROLE	ESJAIL	ESPRISON	ESCBCF	ESICE	ESDIRECT	ESSPLIT	ESSPNDEXC	ESSPNDIMP	ESOTHSUP	ESSUPUNK	ESTOTSUP	ESACTIVE	ESRESTX	ESFINONLY	ESINACTIVE	ESABSND	ESWRNT	ESOUTJURS	ESOTHSTAT	ESSTATUNK	ESTOTSTAT	ESGPSNUM	ESGPSSXNUM	SUPVRATE
40	OK	3	25657	5812	1496	0	2273	9581	7743	512	620	0	0	0	0	0	0	154	0	187	0	1519	10735	24503	3	14498	4201	5804	24503	11484	3731	1555	1594	80	27	-9	26	6006	24503	-9	1677	0	22826	24503	422	1469	2815	2995	7290	2722	217	2446	4127	24503	1	939	1	-9	-9	1	1	-9	-9	-9	-9	-9	1677	3995	10785	2917	1002	4127	24503	1677	-9	-9	-9	-9	-9	939	-9	21887	24503	1	-9	-9	9600	10700	0	0	0	0	0	0	0	0	0	22826	1677	939	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	3	3	2	2	2	2	2	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	854
41	OR	1	38753	7123	6685	-9	922	14730	9164	569	4159	-9	-9	0	171	-9	27	139	-9	111	442	0	14782	38701	1	30105	8596	0	38701	30710	2177	4493	553	494	-9	-9	-9	274	38701	26263	10726	-9	1712	38701	1080	1916	6100	7234	11223	3653	-9	-9	7495	38701	1	1086	-9	1	886	1	1	-9	72	-9	-9	-9	-9	-9	-9	-9	-9	38701	38701	23775	-9	-9	51	13133	-9	1086	0	656	38701	1	3	-9	14700	14800	0	0	0	0	0	0	0	0	0	38701	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1280
42	PA	2	179297	3058	0	0	93026	96084	71279	7789	3440	0	0	0	1922	26	3389	1033	278	476	0	7898	97530	177851	1	127818	50033	0	177851	94167	69615	11028	128	1044	55	292	379	1143	177851	50328	118604	8903	16	177851	2988	3759	19186	36378	29849	38680	0	36369	10642	177851	1	2810	1	2	-8	2	1	-9	817	32	5	1	5884	0	0	0	0	171967	177851	134488	0	0	13325	12728	0	17310	0	0	177851	1	-9	-9	96100	97500	0	0	0	0	0	0	0	0	0	177851	0	2810	0	3	2	2	2	3	3	3	3	3	2	2	2	3	2	3	3	2	2	2	3	3	2	3	3	2	2	3	3	3	3	3	3	3	3	3	2	3	3	3	2	2	1	3	3	3	3	3	2	3	3	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1774
44	RI	1	25164	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	24513	1	20643	3814	56	24513	13498	4902	4852	146	260	-9	-9	170	685	24513	18197	5389	927	0	24513	2465	1119	3295	2776	6648	388	478	7344	0	24513	1	895	1	2	-8	2	1	-8	-8	2130	-8	-8	-9	-9	-9	-9	-9	24513	24513	9706	-9	-9	7925	-9	5530	895	457	0	24513	1	0	0	4900	5600	0	0	0	0	0	0	0	0	0	24513	0	895	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	0	2	2	2	2	2	0	0	2939
45	SC	1	32917	11435	2087	0	0	13522	8377	570	3528	0	0	0	0	0	0	202	0	0	88	0	12765	33674	1	26581	7093	0	33674	15383	17559	573	37	46	-9	-9	75	1	33674	22134	11444	90	6	33674	698	584	1012	17120	2544	0	0	11716	0	33674	1	1088	1	2	-8	2	1	416	-8	-8	-8	-8	0	6113	27083	478	0	0	33674	25271	0	0	2637	4616	62	1088	0	0	33674	1	178	164	13500	12800	0	0	0	0	0	0	0	0	0	33674	0	1088	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	931
46	SD	1	6540	-9	-9	-9	3724	3724	3094	-9	-9	-9	-9	351	-9	-9	-9	-9	-9	-9	-9	0	3445	6819	1	-9	-9	6819	6819	-9	-9	-9	-9	-9	-9	-9	-9	6819	6819	4340	2479	-9	0	6819	-9	-9	-9	-9	-9	-9	-9	-9	6819	6819	1	413	1	2	-8	2	2	-8	-8	-8	-8	-8	-9	-9	-9	-9	-9	6819	6819	6406	-9	-9	-9	-9	-9	413	-9	0	6819	2	-8	-8	3700	3400	0	0	0	0	0	0	0	0	0	6819	0	413	0	2	0	0	0	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	2	0	0	2	0	0	1091
47	TN	3	59655	18172	4968	0	0	23140	13691	3397	5449	0	0	0	0	0	0	329	0	0	0	0	22866	62568	3	46079	16068	421	62568	37750	22071	2297	69	365	0	16	0	0	62568	54885	7677	6	0	62568	1359	922	4477	10506	12862	3447	589	28406	0	62568	1	2034	1	1	3342	1	1	1	2253	250	-9	16	37267	3415	3412	10026	8448	0	62568	52276	745	32	0	2026	4147	3342	0	0	62568	1	338	328	23100	22900	0	0	0	0	0	0	0	0	0	60653	1915	2034	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	2	2	2	2	2	3	3	3	3	2	2	3	3	3	3	2	2	2	2	2	2	3	0	0	1268
48	TX	1	418479	-9	-9	-8	160877	160877	110469	-9	-9	-9	-8	47565	-9	-9	-9	1707	-8	-8	11143	0	170884	408472	1	300591	107864	17	408472	166797	81487	155171	748	3121	-9	-9	1131	17	408472	241111	167361	0	0	408472	18095	11596	41926	98153	102293	94272	-9	41859	278	408472	1	7772	1	1	4372	2	1	-9	3936	4018	2913	-9	-9	-9	-9	-9	-8	408472	408472	283210	-9	-9	4255	57745	-9	7772	55490	0	408472	1	-9	-9	160900	170900	0	0	0	0	0	0	0	0	0	408472	0	7772	0	2	0	0	0	2	2	2	0	0	0	0	2	0	0	0	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	0	0	0	0	0	0	2	2	2	0	0	2	2	0	2	2	2	2	0	0	2164
49	UT	1	11560	2585	3342	0	0	5927	2211	432	448	0	0	0	32	1	634	90	0	1685	45	0	5578	11909	1	8889	3020	0	11909	8828	533	1215	360	92	223	0	0	658	11909	9434	2451	24	0	11909	370	890	1515	3533	3665	995	257	653	31	11909	1	308	1	2	-8	1	1	-8	1719	43	71	6	2451	0	9434	0	0	24	11909	10563	0	0	0	958	57	316	0	15	11909	1	-9	-9	5900	5600	0	0	0	0	0	0	0	0	0	11909	0	308	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	610
50	VT	1	6304	2984	425	321	0	3730	2902	91	326	-8	-8	0	-9	-8	-8	28	0	225	390	0	3962	6072	1	4640	1432	0	6072	5419	235	-9	30	40	-9	-9	-8	348	6072	2121	3896	0	55	6072	575	426	925	1436	525	1133	454	543	55	6072	1	257	1	1	166	2	1	-9	-9	333	-9	-9	2592	1048	1053	1316	-8	63	6072	5051	-8	20	23	5	759	214	-8	0	6072	1	28	6	3700	4000	0	0	0	0	0	0	0	0	0	6072	0	257	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	2	0	0	1210
51	VA	1	56654	14597	10287	0	0	24884	10121	0	0	0	32	6611	0	616	555	483	6023	937	0	475	25853	55685	1	42766	12640	279	55685	27842	25559	1058	31	412	0	0	0	783	55685	55685	0	0	0	55685	449	2227	10413	18710	9522	1837	612	4788	7127	55685	1	17	1	1	1438	2	1	-9	-9	-9	635	-9	-9	-9	-9	-9	-9	55685	55685	51854	0	0	0	3179	0	17	635	0	55685	1	53	29	24900	25900	0	0	0	0	0	0	0	0	0	55685	0	17	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	887
53	WA	32	91337	2095	1215	11836	40885	56031	8263	666	1251	211	447	357	159	485	126	54	158	565	15315	29179	57237	87825	3	32751	10779	44295	87825	22761	2567	1891	778	708	3	30	2	59085	87825	9201	50363	0	28261	87825	3432	1557	3017	2078	4899	4997	1648	1396	64801	87825	1	248	3	1	5	1	1	1445	210	20	-9	31	9117	1882	1863	1607	43	73313	87825	20555	8353	0	2581	3470	3404	199	1574	47689	87825	1	500	-9	58200	59700	0	1	0	0	0	0	0	0	0	33766	41664	187	56	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	3	3	3	3	3	3	2	2	4	4	3	4	3	4	4	3	3	3	3	3	3	3	3	4	4	3	3	3	3	3	2	3	3	3	3	3	2	4	4	3	3	3	2	3	3	3	2	4	4	0	0	1663
54	WV	2	8552	-9	-9	-9	-9	0	-9	232	562	-9	154	-9	-9	-9	-9	-9	-9	-9	312	0	1260	8599	1	5752	2545	302	8599	7546	658	54	2	9	3	24	6	297	8599	6770	1487	-9	342	8599	-9	423	-9	-9	-9	-9	-9	-9	8176	8599	1	523	1	2	-8	2	1	-9	928	-9	-9	-9	5310	928	-9	-9	2068	293	8599	8076	-9	-9	-9	-9	-9	230	-9	293	8599	1	41	41	1400	1300	0	0	0	0	0	0	0	0	0	8599	0	523	0	2	0	0	0	0	2	0	2	2	0	2	0	0	0	0	0	0	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	3	3	2	2	2	3	3	0	2	0	0	0	0	0	2	1	3	2	0	2	2	2	2	2	2	2	0	0	2	3	3	2	2	2	2	0	2	2	2	3	3	0	0	583
55	WI	1	45588	-9	-9	-9	22418	22418	14273	633	5842	-9	-8	0	-8	-9	0	169	510	614	0	0	22041	45965	1	35849	10116	0	45965	31859	9224	2284	1787	-9	524	-9	268	19	45965	22824	22851	290	0	45965	-9	-9	-9	-9	-9	-9	-9	-9	45965	45965	1	1693	1	2	-8	-9	1	82	-9	996	-9	-9	0	0	14326	31587	48	4	45965	37971	-9	0	-8	5385	916	1693	0	0	45965	1	45	43	22400	22000	0	0	0	0	0	0	0	0	0	45965	0	1693	0	2	0	0	0	2	2	2	2	2	0	0	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	2	2	0	2	0	2	0	0	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	0	0	1044
56	WY	1	5196	2683	205	0	0	2888	1719	166	356	0	0	0	173	0	0	20	0	221	0	0	2655	5429	1	3860	1411	158	5429	4334	140	456	246	-9	-9	23	25	205	5429	3361	2018	0	50	5429	284	296	337	1243	1523	1107	30	6	603	5429	1	519	1	2	-8	2	1	-8	-8	-8	118	-8	-9	-9	-9	-9	-9	5429	5429	4910	0	0	0	0	0	519	0	0	5429	1	161	21	2900	2700	0	0	0	0	0	0	0	0	0	0	5429	519	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1248
