STATEID	STATE	NUMREC	TOTBEG	ENNOINC	ENINC	OTHEN	ENUNK	TOTEN	EXCOM	EXINCNEW	EXINCURR	EXTREAT	EXINCOTH	EXINCUNK	EXABSND	EXWRNT	EXTRANS	EXDTH	EXOTHCOM	EXUNSAT	EXOTH	EXUNK	TOTEX	TOTEND	INORCASE	MALE	FEML	GENDUNK	TOTGEND	WHITE	BLACK	HISP	AMINALK	ASIAN	HAWPAC	TWORACE	ADDRACE	UNKRACE	TOTRACE	FELONY	MISD	OTHSROFF	SROFFUNK	TOTSROFF	DMVIOL	SXASLT	OTHVIOL	PROPERTY	DRUG	DUI	TRAF	OTHOFF	OFFUNK	TOTOFF	OUTST	OUTSTNUM	OUTSTIN	ANST	ANSTNUM	REPTPREV	HLDFAC	PAROLE	JAIL	PRISON	CBCF	ICE	DIRECT	SPLIT	SPNDEXC	SPNDIMP	OTHSUP	SUPUNK	TOTSUP	ACTIVE	RESTX	FINONLY	INACTIVE	ABSND	WRNT	OUTJURS	OTHSTAT	STATUNK	TOTSTAT	GPS	GPSNUM	GPSSXNUM	IMPEN	IMPEX	UNKEN	UNKEX	UNKINCASE	UNKGEND	UNKRACE2	UNKSROFF	UNKSROFF2	UNKSUP	UNKSTAT	INDS	CASES	OUTSTINCL	OUTSTEXCL	ESTOTBEG	ESENNOINC	ESENINC	ESOTHEN	ESENUNK	ESTOTEN	ESEXCOM	ESEXINCNEW	ESEXINCURR	ESEXTREAT	ESEXINCOTH	ESEXINCUNK	ESEXABSND	ESEXWRNT	ESEXTRANS	ESEXDTH	ESEXOTHCOM	ESEXUNSAT	ESEXOTH	ESEXUNK	ESTOTEX	ESTOTEND	ESMALE	ESFEML	ESGENDUNK	ESTOTGEND	ESWHITE	ESBLACK	ESHISP	ESAMINALK	ESASIAN	ESHAWPAC	ESTWORACE	ESADDRACE	ESUNKRACE	ESTOTRACE	ESFELONY	ESMISD	ESOTHSROFF	ESSROFFUNK	ESTOTSROFF	ESDMVIOL	ESSXASLT	ESOTHVIOL	ESPROPERTY	ESDRUG	ESDUI	ESTRAF	ESOTHOFF	ESOFFUNK	ESTOTOFF	ESOUTSTNUM	ESANSTNUM	ESPAROLE	ESJAIL	ESPRISON	ESCBCF	ESICE	ESDIRECT	ESSPLIT	ESSPNDEXC	ESSPNDIMP	ESOTHSUP	ESSUPUNK	ESTOTSUP	ESACTIVE	ESRESTX	ESFINONLY	ESINACTIVE	ESABSND	ESWRNT	ESOUTJURS	ESOTHSTAT	ESSTATUNK	ESTOTSTAT	ESGPSNUM	ESGPSSXNUM	SUPVRATE
0	FE	1	17282	8240	0	0	0	7715	5983	0	800	0	0	0	0	0	0	90	1731	118	-9	433	8519	16316	1	10010	6087	219	16316	16316	7085	4203	3138	435	550	42	0	863	16316	12729	3522	55	10	16316	0	183	480	6821	3265	0	1274	4277	16	16316	2	-8	-8	2	-8	1	2	-8	-8	-8	-8	-8	17284	0	0	0	0	0	16316	16316	0	0	0	0	0	0	0	0	16316	1	78	0	7715	8519	0	0	0	0	0	0	0	0	0	17284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
1	AL	3	52220	9731	1921	0	4063	15715	11733	1572	459	-9	-9	-9	-9	1635	-9	345	962	-9	1	0	16707	51228	1	38045	12495	688	51228	19935	16393	554	70	57	-9	-9	0	14219	51228	-9	13474	0	37754	51228	900	-9	950	400	1774	600	8850	0	37754	51228	1	3171	1	1	3125	-9	1	-9	1928	-9	-9	-9	39835	10777	-9	-9	0	616	51228	30260	-9	-9	2435	-9	14571	3171	175	616	51228	1	-9	-9	16200	17200	0	0	616	0	0	0	0	0	0	50612	0	3171	0	1	1	1	0	1	3	1	1	1	0	0	0	0	1	0	1	1	0	1	0	3	3	1	1	1	3	1	1	1	1	1	0	0	0	3	3	0	2	0	1	3	1	0	1	1	1	1	1	0	1	3	1	1	0	1	0	0	0	3	1	0	0	0	0	3	1	0	0	1	0	3	1	1	0	3	0	0	1352
2	AK	1	6621	1077	2407	-9	43	3527	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	6621	-9	-9	-9	6621	6621	-9	-9	-9	-9	-9	-9	-9	-9	6621	6621	-9	-9	-9	6621	6621	-9	-9	-9	-9	-9	-9	-9	-9	6621	6621	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	6621	6621	-9	-9	-9	-9	-9	-9	-9	-9	6621	6621	1	-9	-9	3500	3500	0	-9	6621	0	0	0	0	0	0	0	0	0	0	1	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1193
4	AZ	1	77373	16056	7466	0	0	23522	16915	-9	5272	-8	757	0	-9	-9	-9	318	-8	-8	504	0	23766	77129	1	60981	16148	0	77129	37019	9204	24939	4294	528	-9	-9	700	445	77129	57271	4652	15164	42	77129	944	6155	8854	9627	11012	2363	331	2439	35404	77129	1	2547	1	1	1360	1	1	-9	2013	-9	-9	497	0	0	77129	0	0	0	77129	43473	-9	-9	-9	-9	10639	2547	20470	0	77129	1	209	209	23500	23800	0	0	0	0	0	0	0	0	0	77129	0	2547	0	1	1	1	2	2	2	1	0	1	0	1	2	0	0	0	1	0	0	1	2	2	1	1	1	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	0	0	1	2	2	1	2	2	2	1	1	0	0	0	0	1	1	1	2	1	0	0	1418
5	AR	1	30822	11115	140	1361	0	12616	5222	466	3219	520	0	0	0	20	8	216	135	0	0	0	9806	33731	1	22934	10797	0	33731	22763	9284	1294	104	89	45	0	152	0	33731	33164	405	162	0	33731	1465	1070	1849	11158	13264	60	0	4341	524	33731	1	1445	1	1	148	1	1	82	1958	182	270	240	31170	747	0	1633	181	0	33731	20884	729	0	2987	5429	0	1445	2257	0	33731	1	35	15	12600	9800	0	0	0	0	0	0	0	0	0	33731	0	1445	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1462
6	CA	1	236691	-9	-9	0	137412	137412	57496	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	52475	23972	0	133943	233046	1	-9	-9	233046	233046	-9	-9	-9	-9	-9	-9	-9	0	233046	233046	183623	49423	0	0	233046	-9	-9	-9	-9	-9	-9	-9	-9	233046	233046	2	-8	-8	2	-8	2	2	-8	-8	-8	-8	-8	-9	-9	-9	-9	0	233046	233046	-9	-9	-9	-9	-9	-9	-9	0	233046	233046	1	-9	-9	137400	133900	0	0	0	0	0	0	0	0	0	233046	0	0	0	1	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	0	0	2	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	2	0	0	761
8	CO	8	80607	44249	401	5908	4608	55166	29463	232	995	0	7658	0	5464	0	4577	417	2861	387	387	1152	53593	80876	3	57049	22621	1206	80876	61694	6891	8553	770	919	12	0	0	2037	80876	22778	55945	848	1305	80876	1364	59	258	883	68	2287	235	186	75536	80876	1	2415	3	1	1266	-9	1	-9	6	-9	3022	-9	5436	221	541	0	260	74418	80876	5236	187	0	1061	15	562	2295	0	71520	80876	1	1381	-9	55200	54200	0	0	0	0	0	0	0	0	0	73699	7177	2295	120	3	3	1	2	2	3	3	3	2	2	2	2	2	2	2	2	3	3	3	2	3	3	2	2	3	3	2	2	2	2	2	2	2	2	3	3	2	2	2	3	3	2	2	2	2	2	2	2	2	3	3	2	2	0	2	0	2	0	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	3	3	0	0	1849
9	CT	1	41982	15427	4424	0	0	19851	16279	-9	-9	-9	-9	-9	469	4589	-9	-9	-9	-9	-9	0	21337	40360	1	31541	8819	0	40360	18216	11125	9816	87	-9	-9	3	392	721	40360	20917	18466	191	786	40360	7704	2647	6767	7853	4596	4441	2605	-9	3747	40360	1	1552	2	2	-8	2	1	-9	-8	1882	-8	-9	-9	13765	18115	8480	0	0	40360	31193	-9	-9	-9	-9	7632	1535	0	0	40360	1	563	322	19900	21300	0	0	0	0	0	0	0	0	0	40360	0	0	1552	1	2	2	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	2	2	0	2	2	2	2	2	0	0	2	2	2	2	0	0	0	0	2	2	2	2	2	2	2	2	0	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1417
10	DE	1	15395	-9	-9	0	11699	11699	7121	347	915	-9	-9	-9	-9	-9	-9	123	0	1603	1975	0	12084	15010	1	11372	3638	0	15010	7552	6513	866	10	37	0	0	0	32	15010	3936	8717	0	2357	15010	147	195	1058	1347	587	925	0	10751	0	15010	1	365	1	1	686	2	1	-9	-9	-9	-9	-9	5104	9243	-9	663	0	0	15010	9859	-9	1427	-9	3359	-9	365	0	0	15010	1	-9	-9	11700	12100	0	0	0	0	0	0	0	0	0	15010	0	365	0	2	0	0	0	2	2	2	2	2	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	2	2	0	2	0	2	2	2	0	2	0	2	0	2	0	2	2	0	0	1969
11	DC	1	5796	3866	562	0	0	4428	3391	0	0	0	0	877	0	0	2	48	0	117	64	0	4499	5725	1	4609	1116	0	5725	396	4865	368	4	26	3	0	60	3	5725	2122	1199	2130	274	5725	-9	131	503	-9	934	-9	-9	3890	267	5725	1	399	1	2	-8	2	1	177	-8	438	-8	12	4205	858	0	97	565	0	5725	3119	93	0	342	7	1003	399	762	0	5725	1	102	5	4400	4500	0	0	0	0	0	0	0	0	0	5725	0	399	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	0	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	999
