STATEID	STATE	NUMREC	TOTBEG	ENNOINC	ENINC	OTHEN	ENUNK	TOTEN	EXCOM	EXINCNEW	EXINCURR	EXTREAT	EXINCOTH	EXINCUNK	EXABSND	EXWRNT	EXTRANS	EXDTH	EXOTHCOM	EXUNSAT	EXOTH	EXUNK	TOTEX	TOTEND	INORCASE	MALE	FEML	GENDUNK	TOTGEND	WHITE	BLACK	HISP	AMINALK	ASIAN	HAWPAC	TWORACE	ADDRACE	UNKRACE	TOTRACE	FELONY	MISD	OTHSROFF	SROFFUNK	TOTSROFF	DMVIOL	SXASLT	OTHVIOL	PROPERTY	DRUG	DUI	TRAF	OTHOFF	OFFUNK	TOTOFF	OUTST	OUTSTNUM	OUTSTIN	ANST	ANSTNUM	REPTPREV	HLDFAC	PAROLE	JAIL	PRISON	CBCF	ICE	DIRECT	SPLIT	SPNDEXC	SPNDIMP	OTHSUP	SUPUNK	TOTSUP	ACTIVE	RESTX	FINONLY	INACTIVE	ABSND	WRNT	OUTJURS	OTHSTAT	STATUNK	TOTSTAT	GPS	GPSNUM	GPSSXNUM	IMPEN	IMPEX	UNKEN	UNKEX	UNKINCASE	UNKGEND	UNKRACE2	UNKSROFF	UNKSROFF2	UNKSUP	UNKSTAT	INDS	CASES	OUTSTINCL	OUTSTEXCL	ESTOTBEG	ESENNOINC	ESENINC	ESOTHEN	ESENUNK	ESTOTEN	ESEXCOM	ESEXINCNEW	ESEXINCURR	ESEXTREAT	ESEXINCOTH	ESEXINCUNK	ESEXABSND	ESEXWRNT	ESEXTRANS	ESEXDTH	ESEXOTHCOM	ESEXUNSAT	ESEXOTH	ESEXUNK	ESTOTEX	ESTOTEND	ESMALE	ESFEML	ESGENDUNK	ESTOTGEND	ESWHITE	ESBLACK	ESHISP	ESAMINALK	ESASIAN	ESHAWPAC	ESTWORACE	ESADDRACE	ESUNKRACE	ESTOTRACE	ESFELONY	ESMISD	ESOTHSROFF	ESSROFFUNK	ESTOTSROFF	ESDMVIOL	ESSXASLT	ESOTHVIOL	ESPROPERTY	ESDRUG	ESDUI	ESTRAF	ESOTHOFF	ESOFFUNK	ESTOTOFF	ESOUTSTNUM	ESANSTNUM	ESPAROLE	ESJAIL	ESPRISON	ESCBCF	ESICE	ESDIRECT	ESSPLIT	ESSPNDEXC	ESSPNDIMP	ESOTHSUP	ESSUPUNK	ESTOTSUP	ESACTIVE	ESRESTX	ESFINONLY	ESINACTIVE	ESABSND	ESWRNT	ESOUTJURS	ESOTHSTAT	ESSTATUNK	ESTOTSTAT	ESGPSNUM	ESGPSSXNUM	SUPVRATE
0	FE	1	21698	9800	0	0	0	9800	6934	87	961	0	9	0	124	0	5	105	2004	213	0	380	10822	20676	1	12855	7503	318	20676	9602	5254	3853	605	667	151	0	0	544	20676	15868	2891	1895	22	20676	6	220	326	9316	3575	1439	300	5403	91	20676	-8	-8	-9	2	-8	2	2	-8	-8	-8	-8	-8	20628	29	0	14	5	0	20676	20676	0	0	0	0	0	0	0	0	20676	1	159	14	9800	10800	0	0	0	0	0	0	0	0	0	20676	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0	8
1	AL	3	62368	3504	1197	0	16040	20741	11393	1002	1003	0	0	0	2126	4	0	292	4557	0	0	931	21308	61801	3	48981	11701	1119	61801	20217	19011	478	72	48	-9	-9	-9	21975	61801	0	9532	0	52269	61801	179	0	0	0	106	158	7970	0	53388	61801	1	-9	1	1	-9	2	1	277	1049	-9	-9	-9	3043	2328	3042	0	0	53388	61801	47346	250	904	0	8184	2336	0	0	2781	61801	2	-8	-8	20700	21300	0	0	0	0	0	0	0	0	0	60682	1119	0	0	3	1	1	2	2	3	3	2	3	2	2	2	2	2	2	3	2	2	2	2	2	3	3	3	2	3	2	2	2	2	2	0	0	0	2	3	2	3	2	3	3	1	2	2	2	1	1	1	2	2	3	0	0	2	2	0	0	0	1	1	1	2	2	2	2	3	2	2	2	2	1	2	2	2	3	0	0	1655
2	AK	1	7154	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	7167	1	5680	1487	0	7167	4116	682	34	1697	531	29	-9	-9	78	7167	4838	1720	-9	609	7167	-9	473	1431	1457	923	955	284	1035	609	7167	-9	-9	-9	-9	-9	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	7167	7167	-9	-9	-9	-9	-9	-9	-9	-9	7167	7167	-9	-9	-9	1700	1700	0	0	0	0	0	0	0	0	0	7167	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1308
4	AZ	2	72452	18135	8913	0	0	27048	20170	-9	5174	-8	0	0	-9	-9	-9	240	0	1409	180	0	27173	71527	1	56852	14675	0	71527	33363	7652	24530	3834	481	0	0	540	1127	71527	50919	5896	14550	162	71527	1393	6334	13433	13930	17798	5308	574	4498	8259	71527	1	2440	1	1	1267	1	1	-9	1897	-9	-9	595	500	200	70827	0	0	0	71527	43641	-9	-9	-9	0	9596	2440	15850	0	71527	1	284	209	27000	27200	0	0	0	0	0	0	0	0	0	71527	0	2440	0	1	1	1	2	2	3	1	0	3	0	2	2	0	0	0	1	2	1	1	2	3	1	1	1	2	3	1	1	1	1	1	2	2	1	1	3	1	1	1	3	2	1	1	1	1	1	1	1	1	1	3	1	1	0	1	0	0	1	3	3	1	2	2	2	2	1	0	0	0	1	1	1	1	2	2	0	0	1418
5	AR	1	29946	8443	104	0	0	8547	5882	1175	2211	0	0	0	114	59	1	158	0	0	0	0	9600	29289	1	20458	8825	6	29289	18512	9327	1118	81	99	0	0	57	95	29289	27552	1546	0	191	29289	1070	732	4113	11599	9356	34	-9	2294	91	29289	1	1413	1	1	177	1	1	102	1503	131	158	78	28540	504	139	106	0	0	29289	19012	170	0	3888	4700	0	1413	106	0	29289	1	50	2	8500	9600	0	0	0	0	0	0	0	0	0	29289	0	1413	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1298
6	CA	1	294993	-9	-9	-9	170803	170803	76208	0	0	0	0	0	0	0	0	0	0	64571	25876	0	166655	294057	1	-9	-9	294057	294057	-9	-9	-9	-9	-9	-9	-9	-9	294057	294057	253505	40552	0	0	294057	-9	-9	-9	-9	-9	-9	-9	-9	294057	294057	-9	-9	-9	-9	-9	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	294057	294057	-9	-9	-9	-9	-9	-9	-9	-9	294057	294057	2	-8	-8	170800	166700	0	0	0	0	0	0	0	0	0	294057	0	0	0	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	2	0	0	1003
8	CO	8	77793	39052	295	10840	3804	53991	32462	-9	1374	-9	5543	-9	5206	78	4167	323	2565	372	527	394	53011	78843	3	56348	20194	2301	78843	59101	6344	8848	743	800	0	0	0	3007	78843	17609	55983	2251	3000	78843	1658	58	165	795	41	2883	550	150	72543	78843	1	2160	3	1	1421	-9	1	-9	6	-9	3050	-9	6743	66	226	0	0	71808	78843	4289	501	0	923	322	996	0	0	71812	78843	1	70	70	54500	53500	0	0	1240	0	0	0	0	0	0	71466	6137	2129	31	3	3	2	3	2	3	3	0	2	0	1	0	3	3	1	3	3	2	3	3	2	3	3	3	3	2	3	3	3	3	3	2	2	2	3	2	3	3	3	3	3	2	2	2	2	2	2	2	3	3	3	3	3	0	2	0	1	0	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	3	3	0	0	1942
9	CT	1	47798	16166	5388	-9	0	21554	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	25162	25162	42723	1	33879	8840	4	42723	20166	11356	9851	86	373	0	5	-8	886	42723	24224	17986	478	35	42723	5334	-9	5105	9170	6494	3100	4130	9379	11	42723	1	1313	1	1	776	2	1	-9	-9	-9	-9	-9	11261	13451	18011	-9	-9	0	42723	32533	-9	-9	-9	1993	6933	1264	-9	0	42723	1	703	620	21600	25200	0	0	0	0	0	0	0	0	0	42723	0	1313	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	1	0	1	1	1	1	1	1	1	2	2	2	0	0	0	0	0	1	1	1	0	0	2	2	1	0	0	0	1	1	1	0	2	1	0	0	1515
10	DE	1	15641	-9	-9	-9	13049	13049	6122	-9	-9	21	-9	-9	-9	-9	-9	95	0	5367	1046	0	12651	16039	1	12091	3948	0	16039	8672	6536	724	10	47	0	0	0	50	16039	4134	9909	-8	1996	16039	167	244	1517	1891	936	1596	0	9688	0	16039	1	353	1	1	757	2	1	-9	-9	7	3	-9	7291	8406	-9	342	-9	0	16039	11101	-9	1340	-9	-9	3245	353	-9	0	16039	1	-9	-9	13000	12700	0	0	0	0	0	0	0	0	0	16039	0	353	0	2	0	0	0	2	2	2	0	0	2	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	0	2	0	2	2	2	0	2	0	0	2	2	0	2	2	0	0	2209
11	DC	1	8051	4772	639	0	0	5411	4724	0	0	0	0	1043	0	0	35	29	0	165	110	5	6111	7351	1	5804	1545	2	7351	537	6151	484	6	48	4	0	114	7	7351	2081	1674	3000	596	7351	2	39	209	196	234	97	25	0	6549	7351	1	365	1	2	-8	2	1	416	-8	474	-8	12	5013	1133	0	200	1005	0	7351	4579	70	0	367	37	957	365	927	49	7351	1	208	16	5400	6100	0	0	0	0	0	0	0	0	0	7351	0	365	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1362
12	FL	41	240607	132254	8315	2402	22237	165208	86090	14681	25458	15	483	10	397	2655	2913	889	3347	1928	455	32127	171448	233128	3	159605	55354	18169	233128	112024	57686	32004	331	1112	136	154	50	29631	233128	160486	57524	2841	12277	233128	3439	2619	32612	72844	44895	13598	8922	18523	35676	233128	1	6020	1	1	365	1	1	30	1129	1401	14	1145	105619	14854	25	77307	12	35311	233128	133285	479	747	30198	26267	5714	6077	888	29473	233128	1	4203	2323	174200	181000	0	0	8629	0	0	0	0	0	0	211989	12510	6020	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	1491
13	GA	2	515896	24837	19588	0	246037	290462	231739	3909	2804	0	0	0	0	0	0	396	-9	53033	-9	0	291881	514477	3	155948	44498	314031	514477	90785	103314	5392	206	745	4	-9	-9	314031	514477	198876	315601	-9	0	514477	830	8971	37289	76451	62236	1988	-9	6	326706	514477	1	7358	1	1	3585	2	1	4871	281	-9	2024	-9	131029	50555	-9	-9	18862	314031	514477	99412	865	-9	54289	37283	133852	8260	26	180490	514477	1	149	147	290500	291900	0	0	0	0	0	0	0	0	0	200446	314031	7358	0	3	2	2	2	3	3	3	2	2	2	2	2	2	2	2	2	0	1	0	2	3	3	2	2	2	2	2	2	2	2	2	2	0	0	3	3	2	3	0	2	2	2	2	2	2	2	2	0	2	3	3	2	2	2	2	0	2	0	2	2	0	0	2	3	3	2	2	0	2	2	1	2	2	3	3	0	0	6829
15	HI	1	22211	-9	-9	-9	4957	4957	3882	236	547	-9	477	-9	-9	-9	10	61	379	-9	-9	0	5592	21576	1	16136	5263	177	21576	5159	763	238	0	3893	6864	0	3404	1255	21576	13145	5231	2107	1093	21576	-9	-9	-9	-9	-9	-9	-9	-9	21576	21576	1	189	1	1	354	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	21576	21576	21387	-9	-9	-9	-9	-9	189	-9	0	21576	2	-8	-8	5000	5600	0	0	0	0	0	0	0	0	0	0	21576	189	0	2	0	0	0	2	2	2	2	2	0	2	0	0	0	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	2	0	2	2	0	0	1958
16	ID	2	30978	1851	-9	-9	7584	9435	2528	1	-9	-9	1	-9	1	-9	-9	44	-9	-9	-9	6463	9038	31375	3	9638	3446	18291	31375	9728	222	1600	350	71	-9	-9	109	19295	31375	13084	18291	0	0	31375	-9	739	1974	3628	4284	2362	-9	-9	18388	31375	1	1285	2	-9	-9	1	1	-9	-9	-9	-9	-9	-9	-9	9990	-9	-9	21385	31375	10372	-9	-9	2712	-9	-9	-9	-9	18291	31375	-9	-9	-9	9400	9000	0	0	0	0	0	0	0	0	0	18291	13084	0	1285	3	2	0	0	3	3	2	2	0	0	2	0	2	0	0	2	0	0	0	3	3	3	2	2	3	3	2	2	2	2	2	0	0	2	3	3	2	1	2	2	3	0	2	2	2	2	2	0	0	3	3	2	0	0	0	0	0	0	0	0	2	0	0	3	3	2	0	0	2	0	0	0	0	3	3	0	0	2634
17	IL	1	124507	-8	-8	-8	60179	60179	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	60824	60824	123862	1	-8	-8	123862	123862	-8	-8	-8	-8	-8	-8	-8	-8	123862	123862	-8	-8	-8	123862	123862	-8	-8	-8	-8	-8	-8	-8	-8	123862	123862	-8	-8	1	2	-8	2	2	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	123862	123862	-8	-8	-8	-8	-8	-8	-8	-8	123862	123862	2	-8	-8	60200	60800	0	0	0	0	0	0	0	0	0	123862	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	2	0	0	1253
18	IN	1	123250	2258	71931	9270	0	83459	55297	8087	8515	-8	-8	-8	6775	-8	-8	-8	-8	-8	4362	0	83036	123673	1	-9	-9	123673	123673	-9	-9	-9	-9	-9	-9	-9	-9	123673	123673	59031	64642	-8	0	123673	-9	-9	-9	-9	-9	-9	-9	-9	123673	123673	2	-8	-8	2	-8	2	2	-8	-8	-8	-8	-8	4253	30249	75746	-8	13425	0	123673	113927	-9	-9	-9	-9	-9	3787	-8	5959	123673	2	-8	-8	83500	83000	0	0	0	0	0	0	0	0	0	0	123673	0	0	1	1	1	1	2	1	1	1	1	0	0	0	1	0	0	0	0	0	1	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	2	2	1	1	0	0	0	0	0	1	0	1	2	0	0	2471
19	IA	1	29333	7710	8711	0	0	16421	11357	1300	292	0	0	0	80	0	97	93	49	3185	0	0	16453	29301	1	21533	7768	0	29301	21414	4734	2112	351	337	8	0	0	345	29301	11934	17338	29	0	29301	3581	505	706	7548	7561	7391	822	1187	0	29301	1	1296	1	2	-8	1	1	142	943	247	887	3	9	15512	4938	8842	0	0	29301	21174	887	0	26	4892	0	1296	1026	0	29301	1	290	218	16400	16500	0	0	0	0	0	0	0	0	0	0	29301	1296	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1233
20	KS	1	17021	21255	0	0	0	21255	13846	0	0	0	122	0	0	0	0	0	2403	3242	2217	0	21830	16446	1	-9	-9	16446	16446	-9	-9	-9	-9	-9	-9	-9	-9	16446	16446	3765	12681	-8	0	16446	-9	-9	-9	-9	-9	-9	-9	-9	16446	16446	1	-9	2	1	49	2	1	-9	-9	-9	-9	-9	16446	-9	-9	-9	-9	0	16446	16446	-9	-9	-9	-9	-9	-9	-9	0	16446	1	-9	-9	21300	21800	0	0	0	0	0	0	0	0	0	16446	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	2	0	0	0	0	2	2	2	0	0	0	0	0	0	0	2	2	0	0	756
